current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.536,28.533,0.061,28.472,2.468,0.010
2,200,0.451,22.954,0.095,22.859,2.380,0.018
2,300,0.447,18.039,0.126,17.913,2.304,0.023
3,400,0.452,15.860,0.173,15.686,2.238,0.037
3,500,0.447,14.077,0.248,13.829,2.188,0.058
4,600,0.454,12.135,0.360,11.775,2.102,0.105
5,700,0.450,9.430,0.523,8.907,1.896,0.186
5,800,0.447,7.594,0.723,6.871,1.699,0.305
6,900,0.455,5.833,0.846,4.988,1.458,0.433
6,1000,0.447,6.177,0.871,5.306,1.376,0.527
7,1100,0.450,4.953,0.886,4.067,1.197,0.625
8,1200,0.450,4.679,0.896,3.784,1.132,0.694
8,1300,0.447,4.042,0.899,3.143,1.021,0.756
9,1400,0.449,5.071,0.891,4.180,1.157,0.764
9,1500,0.448,4.584,0.889,3.695,1.044,0.806
10,1600,0.453,3.177,0.875,2.302,0.868,0.839
10,1700,0.445,3.096,0.864,2.232,0.842,0.849
11,1800,0.456,4.186,0.852,3.334,0.953,0.845
12,1900,0.452,2.253,0.846,1.407,0.711,0.880
12,2000,0.447,2.959,0.835,2.124,0.831,0.867
13,2100,0.452,3.429,0.822,2.607,0.845,0.873
13,2200,0.446,2.896,0.819,2.077,0.751,0.887
14,2300,0.451,2.607,0.805,1.801,0.722,0.893
15,2400,0.451,1.890,0.806,1.084,0.630,0.904
15,2500,0.446,2.289,0.802,1.486,0.684,0.902
16,2600,0.450,1.969,0.788,1.182,0.668,0.905
16,2700,0.447,2.215,0.777,1.438,0.695,0.901
17,2800,0.449,2.249,0.777,1.472,0.672,0.912
18,2900,0.451,1.921,0.770,1.150,0.660,0.914
18,3000,0.448,1.999,0.759,1.240,0.638,0.919
19,3100,0.453,2.170,0.746,1.424,0.677,0.911
19,3200,0.447,1.523,0.744,0.779,0.556,0.925
20,3300,0.451,2.116,0.740,1.375,0.635,0.919
20,3400,0.445,2.366,0.728,1.638,0.723,0.904
21,3500,0.458,1.446,0.730,0.716,0.535,0.930
22,3600,0.452,1.595,0.723,0.873,0.558,0.927
22,3700,0.448,1.549,0.712,0.838,0.552,0.926
23,3800,0.452,1.816,0.709,1.106,0.581,0.929
23,3900,0.447,2.310,0.702,1.608,0.644,0.926
24,4000,0.454,1.674,0.696,0.978,0.560,0.933
25,4100,0.451,1.748,0.689,1.059,0.607,0.925
25,4200,0.448,1.560,0.686,0.874,0.543,0.934
26,4300,0.451,2.229,0.681,1.547,0.730,0.909
26,4400,0.446,1.471,0.676,0.795,0.556,0.933
27,4500,0.452,1.465,0.673,0.792,0.528,0.938
28,4600,0.450,1.441,0.669,0.772,0.519,0.940
28,4700,0.448,1.674,0.661,1.012,0.612,0.928
29,4800,0.451,1.344,0.657,0.687,0.514,0.937
29,4900,0.447,2.306,0.650,1.656,0.745,0.913
30,5000,0.452,2.510,0.646,1.863,0.645,0.932
30,5100,0.444,1.211,0.646,0.565,0.469,0.946
31,5200,0.455,1.490,0.639,0.851,0.557,0.938
32,5300,0.451,1.361,0.634,0.727,0.521,0.939
32,5400,0.445,1.279,0.635,0.644,0.478,0.944
33,5500,0.457,1.294,0.626,0.668,0.479,0.943
33,5600,0.446,1.550,0.630,0.921,0.553,0.939
34,5700,0.453,1.437,0.629,0.808,0.522,0.945
35,5800,0.449,1.152,0.621,0.531,0.468,0.945
35,5900,0.447,1.121,0.619,0.503,0.447,0.949
36,6000,0.453,1.605,0.620,0.985,0.523,0.951
36,6100,0.446,1.361,0.616,0.745,0.490,0.947
37,6200,0.451,1.087,0.610,0.477,0.429,0.948
38,6300,0.451,1.068,0.607,0.461,0.443,0.947
38,6400,0.448,1.108,0.605,0.503,0.439,0.949
39,6500,0.454,1.029,0.607,0.422,0.428,0.951
39,6600,0.447,1.068,0.599,0.469,0.438,0.949
40,6700,0.452,1.187,0.599,0.587,0.460,0.950
40,6800,0.444,1.505,0.599,0.906,0.486,0.947
41,6900,0.455,1.563,0.593,0.971,0.531,0.944
42,7000,0.452,1.086,0.595,0.490,0.446,0.951
42,7100,0.446,1.530,0.585,0.945,0.504,0.948
43,7200,0.456,0.958,0.586,0.372,0.412,0.952
43,7300,0.448,1.659,0.584,1.075,0.554,0.941
44,7400,0.452,0.989,0.585,0.404,0.409,0.951
45,7500,0.452,1.059,0.583,0.476,0.451,0.948
45,7600,0.446,1.283,0.578,0.705,0.477,0.949
46,7700,0.453,1.042,0.583,0.459,0.426,0.951
46,7800,0.445,0.992,0.578,0.414,0.411,0.952
47,7900,0.453,1.025,0.583,0.442,0.434,0.952
48,8000,0.454,0.965,0.576,0.389,0.417,0.950
48,8100,0.449,1.020,0.578,0.442,0.415,0.953
49,8200,0.447,1.061,0.577,0.484,0.443,0.950
49,8300,0.448,1.122,0.581,0.542,0.438,0.955
50,8400,0.451,1.327,0.580,0.747,0.494,0.949
50,8500,0.446,0.977,0.579,0.398,0.424,0.953
51,8600,0.452,1.472,0.575,0.896,0.491,0.952
52,8700,0.453,0.978,0.574,0.404,0.413,0.953
52,8800,0.447,1.040,0.572,0.468,0.424,0.951
53,8900,0.455,0.928,0.574,0.354,0.392,0.954
53,9000,0.447,1.192,0.578,0.614,0.468,0.952
54,9100,0.453,0.942,0.571,0.371,0.400,0.954
55,9200,0.452,0.944,0.575,0.369,0.403,0.954
55,9300,0.447,1.002,0.577,0.425,0.406,0.957
56,9400,0.451,0.981,0.572,0.408,0.420,0.955
56,9500,0.447,1.230,0.576,0.654,0.481,0.949
57,9600,0.452,0.965,0.571,0.394,0.412,0.954
58,9700,0.454,1.084,0.571,0.513,0.408,0.954
58,9800,0.448,1.017,0.571,0.446,0.407,0.955
59,9900,0.451,1.107,0.568,0.539,0.467,0.952
59,10000,0.448,1.236,0.559,0.677,0.471,0.947
60,10100,0.452,1.372,0.564,0.808,0.480,0.950
60,10200,0.445,0.940,0.564,0.376,0.411,0.954
61,10300,0.452,1.716,0.567,1.149,0.580,0.943
62,10400,0.453,1.168,0.562,0.606,0.453,0.951
62,10500,0.447,1.074,0.565,0.509,0.442,0.951
63,10600,0.457,1.061,0.559,0.503,0.445,0.951
63,10700,0.448,0.914,0.561,0.353,0.387,0.954
64,10800,0.450,0.875,0.561,0.314,0.386,0.955
65,10900,0.455,0.945,0.559,0.386,0.398,0.955
65,11000,0.447,1.025,0.563,0.462,0.427,0.953
66,11100,0.451,0.938,0.563,0.375,0.383,0.957
66,11200,0.447,1.062,0.555,0.506,0.440,0.952
67,11300,0.450,1.035,0.554,0.481,0.416,0.955
68,11400,0.451,0.980,0.558,0.422,0.410,0.956
68,11500,0.448,1.013,0.559,0.454,0.417,0.953
69,11600,0.452,0.870,0.553,0.317,0.384,0.956
69,11700,0.447,0.883,0.558,0.324,0.386,0.957
70,11800,0.454,0.901,0.559,0.342,0.389,0.958
70,11900,0.446,0.882,0.553,0.329,0.393,0.955
71,12000,0.454,0.871,0.557,0.314,0.380,0.959
72,12100,0.448,1.071,0.557,0.514,0.425,0.955
72,12200,0.446,0.910,0.556,0.354,0.389,0.957
73,12300,0.449,0.975,0.553,0.422,0.410,0.955
73,12400,0.447,0.990,0.552,0.437,0.411,0.954
74,12500,0.449,0.919,0.554,0.365,0.391,0.956
75,12600,0.451,1.010,0.553,0.457,0.435,0.954
75,12700,0.449,0.897,0.554,0.344,0.376,0.958
76,12800,0.450,0.991,0.554,0.437,0.415,0.955
76,12900,0.448,0.908,0.547,0.360,0.393,0.955
77,13000,0.449,0.860,0.556,0.304,0.370,0.957
78,13100,0.449,0.960,0.553,0.407,0.407,0.956
78,13200,0.447,0.953,0.554,0.399,0.408,0.955
79,13300,0.450,0.869,0.548,0.321,0.378,0.956
79,13400,0.446,0.864,0.552,0.312,0.375,0.957
80,13500,0.455,1.164,0.551,0.613,0.436,0.953
80,13600,0.445,1.070,0.556,0.515,0.416,0.954
81,13700,0.452,1.187,0.555,0.632,0.437,0.957
82,13800,0.448,0.981,0.547,0.434,0.414,0.954
82,13900,0.446,0.861,0.548,0.313,0.378,0.955
83,14000,0.448,1.014,0.548,0.466,0.405,0.955
83,14100,0.445,0.870,0.549,0.321,0.394,0.957
84,14200,0.449,1.041,0.549,0.492,0.398,0.957
85,14300,0.452,0.818,0.546,0.272,0.371,0.956
85,14400,0.447,0.906,0.550,0.356,0.392,0.955
