current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
3,100,0.443,0.001,0.000,0.000,0.021,0.007
5,200,0.446,0.000,0.000,0.000,0.012,0.001
7,300,0.444,0.000,0.000,0.000,0.007,0.006
9,400,0.452,0.000,0.000,0.000,0.004,0.020
11,500,0.437,0.000,0.000,0.000,0.002,0.012
14,600,0.441,0.000,0.000,0.000,0.001,-0.026
16,700,0.439,0.000,0.000,0.000,0.000,-0.014
18,800,0.442,0.000,0.000,0.000,0.000,-0.025
20,900,0.442,0.000,0.000,0.000,0.000,-0.008
22,1000,0.437,0.000,0.000,0.000,0.000,-0.024
24,1100,0.434,0.000,0.000,0.000,0.000,0.000
27,1200,0.441,0.000,0.000,0.000,0.000,0.014
29,1300,0.451,0.000,0.000,0.000,0.000,0.003
31,1400,0.438,0.000,0.000,0.000,0.000,-0.003
33,1500,0.436,0.000,0.000,0.000,0.000,-0.019
35,1600,0.436,0.000,0.000,0.000,0.000,0.011
37,1700,0.438,0.000,0.000,0.000,0.000,-0.004
40,1800,0.437,0.000,0.000,0.000,0.000,-0.008
42,1900,0.439,0.000,0.000,0.000,0.000,0.030
44,2000,0.437,0.000,0.000,0.000,0.000,-0.006
46,2100,0.438,0.000,0.000,0.000,0.000,0.003
48,2200,0.443,0.000,0.000,0.000,0.000,-0.001
50,2300,0.440,0.000,0.000,0.000,0.000,-0.007
