current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.105,77.196,0.311,76.884,5.395,0.578
1,200,0.091,99.067,0.445,98.622,4.848,0.682
1,300,0.091,90.676,0.641,90.035,4.621,0.801
1,1000,0.087,36.956,1.443,35.513,2.197,0.947
1,2000,0.079,7.048,1.435,5.612,1.308,0.963
1,3000,0.080,4.952,1.426,3.526,1.158,0.957
1,4000,0.080,7.567,1.386,6.181,1.389,0.966
1,5000,0.079,7.198,1.349,5.849,1.385,0.954
1,6000,0.079,3.989,1.350,2.640,1.029,0.975
1,7000,0.079,8.730,1.275,7.455,1.451,0.941
1,8000,0.079,7.713,1.294,6.420,1.434,0.966
1,9000,0.079,11.873,1.253,10.620,1.735,0.960
1,10000,0.080,4.487,1.263,3.224,1.169,0.976
1,11000,0.079,3.947,1.210,2.737,1.058,0.979
1,12000,0.079,5.105,1.200,3.905,1.186,0.957
1,13000,0.079,4.084,1.175,2.910,1.044,0.977
1,14000,0.079,5.051,1.158,3.892,1.228,0.962
1,15000,0.079,3.783,1.143,2.640,1.052,0.983
1,16000,0.080,5.863,1.105,4.759,1.233,0.951
1,17000,0.079,5.525,1.096,4.430,1.326,0.963
1,18000,0.079,5.143,1.079,4.064,1.102,0.978
1,19000,0.079,2.927,1.096,1.831,0.930,0.981
1,20000,0.079,4.824,1.044,3.780,1.196,0.961
1,21000,0.079,3.972,1.048,2.924,1.161,0.973
2,22000,0.081,4.015,1.029,2.986,1.019,0.977
2,23000,0.079,3.724,1.026,2.698,0.994,0.977
2,24000,0.079,3.131,1.009,2.122,0.920,0.978
2,25000,0.079,3.901,0.988,2.913,1.147,0.958
2,26000,0.079,2.617,0.995,1.622,0.813,0.981
2,27000,0.079,4.655,0.990,3.665,1.148,0.974
2,28000,0.080,10.287,0.972,9.315,1.659,0.971
2,29000,0.079,4.331,0.969,3.362,0.961,0.979
2,30000,0.079,6.190,0.970,5.220,1.381,0.945
2,31000,0.079,4.133,0.974,3.159,1.099,0.959
2,32000,0.079,3.418,0.975,2.442,0.969,0.978
2,33000,0.079,3.450,0.982,2.468,1.090,0.958
2,34000,0.080,7.789,0.962,6.827,1.479,0.976
2,35000,0.079,3.632,0.983,2.649,1.052,0.972
2,36000,0.080,3.225,0.965,2.260,0.937,0.985
2,37000,0.079,5.744,0.943,4.801,1.247,0.955
2,38000,0.079,3.139,0.961,2.178,0.951,0.984
2,39000,0.079,7.877,0.946,6.931,1.336,0.965
2,40000,0.080,4.053,0.958,3.095,0.967,0.970
2,41000,0.079,2.962,0.950,2.012,0.916,0.980
2,42000,0.079,2.393,0.943,1.450,0.861,0.975
2,43000,0.079,4.418,0.935,3.483,1.199,0.972
3,44000,0.079,2.527,0.920,1.606,0.902,0.982
1,100,0.111,131.643,0.841,130.802,5.630,0.560
1,200,0.090,24.847,0.492,24.355,3.122,0.749
1,300,0.090,26.669,0.678,25.992,3.160,0.848
1,400,0.090,28.386,0.855,27.531,3.010,0.875
1,500,0.091,28.079,1.053,27.025,2.823,0.866
1,600,0.090,11.277,1.205,10.072,1.811,0.916
1,700,0.090,39.533,1.281,38.252,2.734,0.928
1,800,0.090,14.686,1.373,13.313,2.130,0.926
1,900,0.090,9.269,1.427,7.842,1.585,0.945
1,1000,0.089,9.478,1.454,8.024,1.704,0.938
1,1100,0.090,9.224,1.442,7.782,1.485,0.942
1,1200,0.090,40.717,1.380,39.337,2.796,0.899
1,1300,0.089,8.496,1.443,7.052,1.670,0.959
1,1400,0.090,7.890,1.442,6.448,1.651,0.955
1,1500,0.090,15.487,1.451,14.036,2.247,0.920
1,1600,0.092,8.208,1.425,6.783,1.693,0.952
1,1700,0.090,6.796,1.422,5.374,1.457,0.950
1,1800,0.090,6.483,1.437,5.046,1.437,0.965
1,1900,0.090,6.637,1.425,5.212,1.416,0.959
1,2000,0.091,8.445,1.381,7.064,1.371,0.959
1,2100,0.090,13.465,1.411,12.055,1.747,0.971
1,2200,0.090,7.146,1.421,5.725,1.386,0.957
1,2300,0.090,9.324,1.384,7.940,1.505,0.957
1,2400,0.090,6.475,1.415,5.060,1.395,0.964
1,2500,0.090,13.013,1.392,11.621,1.770,0.958
1,2600,0.090,4.999,1.389,3.610,1.087,0.970
1,2700,0.090,15.280,1.397,13.884,1.971,0.943
1,2800,0.090,9.554,1.329,8.225,1.537,0.964
1,2900,0.090,10.151,1.331,8.820,1.702,0.937
1,3000,0.090,8.477,1.354,7.123,1.394,0.965
1,3100,0.090,5.767,1.374,4.392,1.173,0.973
1,3200,0.089,5.696,1.385,4.311,1.241,0.970
1,3300,0.090,7.635,1.379,6.256,1.520,0.966
1,3400,0.090,7.614,1.330,6.284,1.441,0.968
1,3500,0.090,7.252,1.340,5.913,1.451,0.957
1,3600,0.089,5.388,1.353,4.036,1.257,0.951
1,3700,0.090,7.207,1.381,5.826,1.329,0.974
1,3800,0.090,8.717,1.357,7.360,1.596,0.969
1,3900,0.092,13.734,1.318,12.416,1.802,0.963
1,4000,0.090,5.731,1.345,4.386,1.241,0.972
1,100,0.101,76.903,0.296,76.607,5.286,0.587
1,200,0.090,46.097,0.506,45.591,3.933,0.797
1,300,0.090,19.538,0.750,18.788,2.734,0.856
1,100,0.472,92.348,0.276,92.072,5.611,0.229
2,200,0.453,64.567,0.527,64.040,4.893,0.359
2,300,0.448,41.271,0.770,40.501,4.149,0.463
3,400,0.449,25.255,1.033,24.223,3.132,0.630
1,100,0.541,98.400,0.271,98.128,5.791,0.164
2,200,0.454,70.139,0.498,69.642,5.220,0.252
2,300,0.447,45.732,0.738,44.994,4.454,0.354
3,400,0.450,31.550,0.982,30.568,3.678,0.474
3,500,0.447,26.639,1.241,25.398,3.217,0.605
4,600,0.451,13.661,1.474,12.187,2.327,0.771
5,700,0.452,13.373,1.602,11.770,2.085,0.864
5,800,0.447,9.059,1.673,7.387,1.683,0.922
6,900,0.455,8.689,1.633,7.056,1.576,0.937
6,1000,0.447,7.740,1.572,6.168,1.431,0.949
7,1100,0.450,6.693,1.542,5.152,1.347,0.955
8,1200,0.452,10.445,1.521,8.924,1.709,0.944
8,1300,0.447,5.691,1.505,4.186,1.224,0.962
9,1400,0.448,10.129,1.455,8.674,1.657,0.948
9,1500,0.447,5.275,1.462,3.812,1.165,0.967
10,1600,0.451,4.517,1.439,3.077,1.060,0.971
10,1700,0.444,4.530,1.402,3.128,1.073,0.968
11,1800,0.458,4.890,1.380,3.510,1.096,0.970
12,1900,0.452,5.964,1.371,4.593,1.242,0.965
12,2000,0.446,4.225,1.364,2.861,1.026,0.974
13,2100,0.454,3.197,1.332,1.865,0.850,0.976
13,2200,0.446,5.311,1.323,3.988,1.200,0.969
14,2300,0.451,5.259,1.286,3.973,1.127,0.971
15,2400,0.449,8.786,1.279,7.507,1.515,0.956
15,2500,0.445,4.055,1.260,2.796,1.014,0.973
16,2600,0.449,3.928,1.248,2.680,0.995,0.975
16,2700,0.447,3.048,1.230,1.817,0.858,0.977
17,2800,0.451,3.201,1.221,1.980,0.882,0.976
18,2900,0.453,2.137,1.203,0.935,0.645,0.981
18,3000,0.447,2.698,1.188,1.510,0.782,0.981
19,3100,0.453,2.988,1.175,1.813,0.845,0.978
19,3200,0.446,3.727,1.163,2.564,0.949,0.977
20,3300,0.450,3.623,1.143,2.480,0.930,0.974
20,3400,0.444,2.474,1.128,1.346,0.730,0.982
21,3500,0.459,2.396,1.122,1.275,0.701,0.982
22,3600,0.450,2.250,1.109,1.141,0.696,0.983
22,3700,0.448,1.979,1.089,0.891,0.633,0.984
23,3800,0.452,2.692,1.075,1.617,0.801,0.981
23,3900,0.448,4.264,1.059,3.205,1.033,0.974
24,4000,0.453,2.269,1.044,1.225,0.694,0.984
25,4100,0.450,1.936,1.030,0.906,0.621,0.984
25,4200,0.447,2.342,1.019,1.323,0.716,0.983
26,4300,0.451,2.133,1.005,1.128,0.661,0.983
26,4400,0.445,2.004,0.999,1.005,0.642,0.985
27,4500,0.452,2.147,0.987,1.160,0.647,0.984
28,4600,0.454,2.464,0.978,1.486,0.765,0.983
28,4700,0.447,2.174,0.968,1.206,0.700,0.985
29,4800,0.452,1.923,0.964,0.959,0.632,0.986
29,4900,0.447,1.767,0.955,0.812,0.566,0.987
30,5000,0.455,2.122,0.939,1.183,0.660,0.985
30,5100,0.444,1.608,0.934,0.674,0.555,0.986
31,5200,0.451,1.586,0.931,0.655,0.536,0.987
32,5300,0.452,1.516,0.920,0.596,0.522,0.987
32,5400,0.446,1.752,0.917,0.835,0.582,0.987
33,5500,0.457,2.142,0.909,1.233,0.668,0.986
33,5600,0.446,1.790,0.904,0.885,0.591,0.987
34,5700,0.451,1.711,0.894,0.817,0.596,0.988
35,5800,0.449,1.487,0.887,0.600,0.491,0.987
35,5900,0.447,1.928,0.882,1.046,0.638,0.985
36,6000,0.452,1.836,0.880,0.956,0.585,0.987
36,6100,0.446,1.526,0.871,0.655,0.523,0.987
37,6200,0.449,2.249,0.877,1.372,0.624,0.988
38,6300,0.450,1.579,0.870,0.709,0.539,0.988
38,6400,0.447,1.363,0.860,0.503,0.482,0.989
39,6500,0.451,1.567,0.862,0.705,0.527,0.989
39,6600,0.447,1.695,0.858,0.837,0.581,0.987
40,6700,0.453,1.633,0.855,0.778,0.519,0.988
40,6800,0.444,1.645,0.850,0.795,0.548,0.989
41,6900,0.455,1.629,0.845,0.784,0.546,0.988
42,7000,0.450,1.577,0.840,0.738,0.549,0.988
42,7100,0.446,1.528,0.836,0.692,0.542,0.989
43,7200,0.456,1.554,0.832,0.722,0.528,0.989
43,7300,0.448,1.648,0.831,0.817,0.543,0.988
44,7400,0.451,2.336,0.830,1.506,0.663,0.988
45,7500,0.449,1.787,0.821,0.966,0.596,0.988
45,7600,0.445,1.288,0.818,0.471,0.465,0.990
46,7700,0.452,1.377,0.820,0.557,0.492,0.989
46,7800,0.445,1.396,0.818,0.578,0.478,0.989
47,7900,0.450,1.419,0.813,0.606,0.508,0.989
48,8000,0.452,1.409,0.814,0.595,0.471,0.990
48,8100,0.449,1.521,0.815,0.706,0.510,0.990
49,8200,0.450,1.371,0.808,0.563,0.472,0.989
49,8300,0.448,1.266,0.806,0.460,0.441,0.991
50,8400,0.451,1.601,0.804,0.798,0.534,0.990
50,8500,0.446,1.380,0.799,0.581,0.481,0.990
51,8600,0.454,1.278,0.795,0.483,0.464,0.990
52,8700,0.450,1.372,0.798,0.574,0.475,0.991
52,8800,0.447,1.265,0.794,0.471,0.456,0.990
53,8900,0.454,1.330,0.788,0.542,0.472,0.990
53,9000,0.446,1.352,0.789,0.564,0.486,0.990
54,9100,0.452,1.552,0.785,0.767,0.526,0.989
55,9200,0.451,1.158,0.784,0.374,0.418,0.991
55,9300,0.447,1.112,0.780,0.332,0.401,0.991
56,9400,0.452,1.239,0.783,0.456,0.448,0.991
56,9500,0.450,1.308,0.780,0.528,0.456,0.991
57,9600,0.453,1.164,0.776,0.388,0.435,0.990
58,9700,0.452,1.269,0.772,0.497,0.444,0.991
58,9800,0.449,1.124,0.773,0.351,0.413,0.990
59,9900,0.449,1.209,0.768,0.440,0.437,0.991
59,10000,0.448,1.184,0.768,0.416,0.421,0.990
60,10100,0.453,1.594,0.767,0.828,0.545,0.990
60,10200,0.447,1.522,0.767,0.755,0.526,0.990
61,10300,0.452,1.332,0.765,0.567,0.486,0.990
62,10400,0.450,1.376,0.762,0.614,0.486,0.991
62,10500,0.447,1.108,0.765,0.342,0.406,0.991
63,10600,0.457,1.498,0.758,0.741,0.529,0.991
63,10700,0.448,1.159,0.760,0.399,0.427,0.991
64,10800,0.449,1.299,0.759,0.540,0.481,0.990
65,10900,0.455,1.337,0.754,0.583,0.493,0.990
65,11000,0.447,1.283,0.748,0.535,0.485,0.991
66,11100,0.450,1.336,0.753,0.583,0.473,0.990
66,11200,0.447,1.748,0.750,0.998,0.532,0.991
67,11300,0.450,1.101,0.743,0.358,0.404,0.991
68,11400,0.447,1.219,0.739,0.479,0.456,0.991
68,11500,0.447,1.905,0.738,1.166,0.594,0.989
69,11600,0.451,1.409,0.739,0.670,0.520,0.991
69,11700,0.447,1.162,0.739,0.423,0.428,0.992
70,11800,0.450,1.378,0.735,0.643,0.454,0.992
70,11900,0.445,1.155,0.731,0.423,0.438,0.991
71,12000,0.454,1.067,0.731,0.336,0.394,0.991
72,12100,0.451,1.165,0.730,0.435,0.441,0.991
72,12200,0.446,1.057,0.727,0.330,0.392,0.991
73,12300,0.450,1.140,0.724,0.416,0.434,0.991
73,12400,0.447,1.108,0.721,0.387,0.396,0.992
74,12500,0.453,1.170,0.718,0.452,0.442,0.991
75,12600,0.452,1.142,0.721,0.422,0.429,0.991
75,12700,0.448,1.293,0.715,0.578,0.462,0.991
76,12800,0.449,1.247,0.715,0.532,0.478,0.991
76,12900,0.447,1.267,0.724,0.542,0.466,0.991
77,13000,0.448,1.281,0.711,0.570,0.453,0.992
78,13100,0.452,1.406,0.712,0.694,0.499,0.991
78,13200,0.446,1.504,0.707,0.797,0.499,0.991
79,13300,0.451,1.073,0.714,0.358,0.392,0.992
79,13400,0.446,1.268,0.703,0.566,0.483,0.990
80,13500,0.454,1.078,0.710,0.368,0.390,0.992
80,13600,0.445,1.557,0.706,0.851,0.530,0.991
81,13700,0.455,1.014,0.705,0.310,0.393,0.992
82,13800,0.448,1.196,0.700,0.496,0.433,0.991
82,13900,0.446,1.151,0.701,0.450,0.416,0.992
83,14000,0.450,1.133,0.704,0.430,0.408,0.992
83,14100,0.449,1.006,0.698,0.308,0.374,0.992
84,14200,0.453,1.182,0.700,0.481,0.417,0.992
85,14300,0.452,0.988,0.696,0.292,0.375,0.992
85,14400,0.447,1.443,0.697,0.747,0.488,0.991
86,14500,0.449,1.147,0.697,0.450,0.402,0.992
86,14600,0.446,1.024,0.693,0.331,0.385,0.992
87,14700,0.448,1.175,0.694,0.481,0.443,0.991
88,14800,0.446,1.112,0.693,0.418,0.404,0.992
88,14900,0.446,1.118,0.691,0.427,0.405,0.992
89,15000,0.449,1.017,0.693,0.324,0.380,0.992
89,15100,0.447,1.063,0.692,0.371,0.408,0.992
90,15200,0.447,0.965,0.688,0.278,0.363,0.992
90,15300,0.443,1.453,0.693,0.760,0.544,0.990
91,15400,0.453,1.012,0.690,0.321,0.397,0.992
92,15500,0.451,1.443,0.690,0.753,0.468,0.992
92,15600,0.448,1.001,0.691,0.310,0.386,0.992
93,15700,0.449,1.180,0.688,0.492,0.427,0.991
