current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.601,7.710,6.713,0.997,0.825,-0.162
1,200,0.436,6.878,5.882,0.997,0.809,0.097
1,300,0.440,6.045,5.049,0.996,0.836,0.146
1,400,0.441,5.947,4.950,0.997,0.846,-0.086
1,500,0.434,5.480,4.483,0.997,0.807,-0.019
1,600,0.437,6.186,5.190,0.997,0.840,0.002
1,700,0.435,5.341,4.345,0.996,0.800,-0.001
1,800,0.437,6.238,5.242,0.996,0.795,-0.013
1,900,0.438,5.470,4.474,0.996,0.847,-0.005
1,1000,0.436,5.618,4.621,0.997,0.851,0.021
1,1100,0.441,5.034,4.038,0.996,0.803,-0.016
1,1200,0.441,5.950,4.954,0.996,0.814,0.021
1,1300,0.438,4.797,3.800,0.997,0.845,-0.007
1,1400,0.442,5.318,4.322,0.996,0.800,-0.014
2,1500,0.441,6.108,5.111,0.997,0.852,0.002
2,1600,0.437,5.051,4.054,0.997,0.791,-0.008
2,1700,0.442,4.787,3.790,0.997,0.796,0.016
2,1800,0.437,4.232,3.236,0.996,0.839,-0.010
2,1900,0.441,3.834,2.837,0.997,0.821,-0.027
2,2000,0.441,3.667,2.669,0.998,0.827,0.012
2,2100,0.437,3.166,2.170,0.996,0.815,0.030
2,2200,0.442,3.214,2.217,0.997,0.827,0.004
2,2300,0.441,3.413,2.416,0.997,0.820,-0.066
2,2400,0.438,3.526,2.529,0.997,0.830,-0.022
2,2500,0.442,2.879,1.882,0.997,0.819,0.016
2,2600,0.438,2.203,1.206,0.997,0.829,-0.044
2,2700,0.441,1.945,0.948,0.997,0.800,0.012
2,2800,0.442,1.734,0.738,0.996,0.820,0.013
2,2900,0.437,1.721,0.725,0.996,0.842,-0.017
3,3000,0.442,1.457,0.460,0.997,0.838,-0.031
3,3100,0.442,1.387,0.390,0.997,0.822,-0.036
3,3200,0.438,1.160,0.163,0.997,0.820,-0.001
3,3300,0.442,1.241,0.244,0.997,0.815,0.000
3,3400,0.440,1.027,0.031,0.997,0.804,-0.006
3,3500,0.440,1.003,0.006,0.997,0.812,-0.022
3,3600,0.442,1.008,0.011,0.997,0.835,-0.012
3,3700,0.438,1.013,0.016,0.997,0.848,0.024
3,3800,0.442,1.010,0.013,0.997,0.830,-0.034
3,3900,0.442,1.000,0.004,0.996,0.837,0.008
3,4000,0.438,0.997,0.000,0.997,0.849,-0.010
3,4100,0.442,0.998,0.000,0.997,0.827,-0.008
3,4200,0.442,1.000,0.003,0.997,0.852,0.007
3,4300,0.439,0.999,0.003,0.997,0.822,0.032
3,4400,0.442,1.002,0.004,0.997,0.821,0.026
4,4500,0.439,0.998,0.001,0.998,0.825,0.007
4,4600,0.441,1.000,0.003,0.997,0.835,-0.035
4,4700,0.441,1.002,0.005,0.997,0.821,0.008
4,4800,0.438,0.998,0.001,0.997,0.848,-0.002
4,4900,0.442,1.000,0.003,0.997,0.830,-0.023
4,5000,0.442,1.087,0.090,0.997,0.841,0.046
4,5100,0.438,1.012,0.015,0.997,0.830,0.013
4,5200,0.442,0.998,0.001,0.997,0.835,-0.004
4,5300,0.438,0.997,0.000,0.997,0.838,0.025
4,5400,0.441,0.997,0.000,0.997,0.817,-0.025
4,5500,0.441,0.997,0.001,0.996,0.850,0.032
4,5600,0.437,0.999,0.001,0.998,0.837,-0.018
4,5700,0.442,0.999,0.002,0.997,0.838,0.017
4,5800,0.442,1.000,0.004,0.996,0.860,-0.028
4,5900,0.437,1.501,0.504,0.997,0.842,0.037
5,6000,0.442,1.180,0.184,0.997,0.832,0.001
5,6100,0.439,1.229,0.232,0.997,0.837,0.030
5,6200,0.440,1.159,0.162,0.997,0.827,-0.015
5,6300,0.443,1.101,0.103,0.998,0.826,-0.016
5,6400,0.437,1.047,0.049,0.997,0.829,-0.034
5,6500,0.442,1.175,0.178,0.997,0.827,0.027
5,6600,0.443,1.072,0.075,0.997,0.836,0.026
5,6700,0.438,1.010,0.014,0.997,0.795,-0.009
5,6800,0.442,1.009,0.013,0.996,0.804,0.020
5,6900,0.441,1.001,0.004,0.997,0.804,-0.011
5,7000,0.440,1.000,0.004,0.996,0.832,0.041
5,7100,0.442,1.000,0.003,0.997,0.839,-0.011
5,7200,0.437,1.001,0.004,0.997,0.806,-0.012
5,7300,0.443,1.003,0.006,0.997,0.854,-0.024
6,7400,0.441,2.932,1.936,0.997,0.818,-0.009
6,7500,0.439,2.466,1.470,0.996,0.842,-0.027
6,7600,0.443,2.108,1.111,0.998,0.816,0.015
6,7700,0.443,1.973,0.976,0.996,0.832,0.011
6,7800,0.439,1.551,0.555,0.996,0.821,0.019
6,7900,0.441,1.292,0.295,0.997,0.849,0.023
6,8000,0.439,1.273,0.276,0.997,0.807,0.018
6,8100,0.443,1.035,0.038,0.997,0.831,0.021
6,8200,0.443,1.002,0.005,0.997,0.834,0.015
6,8300,0.439,1.014,0.017,0.997,0.823,0.016
6,8400,0.441,1.008,0.010,0.998,0.811,0.026
6,8500,0.442,1.003,0.006,0.997,0.833,0.011
6,8600,0.438,1.002,0.006,0.996,0.832,-0.046
6,8700,0.443,1.000,0.004,0.996,0.793,0.007
6,8800,0.439,1.001,0.004,0.997,0.827,0.022
7,8900,0.441,0.998,0.000,0.997,0.830,-0.015
7,9000,0.442,0.998,0.002,0.996,0.828,0.044
7,9100,0.439,0.998,0.001,0.997,0.789,-0.005
7,9200,0.442,0.998,0.001,0.997,0.838,0.011
7,9300,0.442,6.132,5.135,0.996,0.821,0.005
7,9400,0.439,5.490,4.493,0.997,0.812,0.020
7,9500,0.442,5.917,4.920,0.997,0.838,0.054
7,9600,0.440,4.332,3.335,0.997,0.809,-0.015
7,9700,0.439,4.083,3.087,0.996,0.839,-0.008
7,9800,0.441,3.801,2.805,0.997,0.845,-0.014
7,9900,0.438,2.609,1.611,0.998,0.830,0.006
7,10000,0.442,1.886,0.888,0.998,0.847,-0.021
7,10100,0.442,1.289,0.292,0.997,0.814,0.018
7,10200,0.438,1.238,0.242,0.996,0.844,0.026
7,10300,0.443,1.079,0.082,0.997,0.839,0.029
8,10400,0.442,1.025,0.029,0.996,0.809,-0.007
8,10500,0.435,1.031,0.034,0.997,0.845,0.039
8,10600,0.439,1.036,0.040,0.996,0.831,-0.009
8,10700,0.437,1.007,0.010,0.997,0.818,-0.003
8,10800,0.443,1.006,0.010,0.996,0.810,-0.006
8,10900,0.443,1.001,0.005,0.997,0.824,0.039
8,11000,0.437,1.001,0.004,0.997,0.828,0.016
8,11100,0.442,0.999,0.003,0.996,0.821,-0.053
8,11200,0.442,1.000,0.004,0.996,0.839,-0.026
8,11300,0.439,1.512,0.515,0.997,0.812,0.012
8,11400,0.442,1.274,0.277,0.997,0.822,-0.017
8,11500,0.439,0.999,0.001,0.997,0.839,0.009
8,11600,0.442,1.000,0.002,0.997,0.818,-0.012
8,11700,0.442,0.999,0.002,0.997,0.847,-0.009
8,11800,0.437,1.005,0.008,0.997,0.818,0.031
