current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.530,32.979,0.097,32.882,1.775,0.007
2,200,0.451,28.570,0.126,28.444,1.756,0.011
2,300,0.447,21.857,0.128,21.729,1.660,0.010
3,400,0.454,18.826,0.092,18.734,1.617,0.011
3,500,0.447,20.398,0.130,20.268,1.654,0.011
4,600,0.452,21.258,0.112,21.146,1.660,0.014
5,700,0.449,19.553,0.130,19.423,1.638,0.015
5,800,0.447,18.099,0.146,17.953,1.609,0.020
6,900,0.456,16.077,0.176,15.901,1.566,0.024
6,1000,0.447,16.642,0.221,16.421,1.612,0.029
7,1100,0.451,14.585,0.255,14.331,1.548,0.036
8,1200,0.454,13.236,0.301,12.935,1.514,0.044
8,1300,0.448,12.933,0.352,12.581,1.484,0.055
9,1400,0.449,10.110,0.448,9.662,1.398,0.090
9,1500,0.447,9.410,0.538,8.872,1.341,0.129
10,1600,0.451,7.473,0.599,6.875,1.211,0.174
10,1700,0.445,6.071,0.635,5.436,1.122,0.210
11,1800,0.459,10.453,0.671,9.782,1.259,0.220
12,1900,0.454,7.402,0.698,6.704,1.129,0.247
12,2000,0.447,4.415,0.727,3.688,0.987,0.280
13,2100,0.452,5.079,0.727,4.353,1.011,0.293
13,2200,0.446,4.529,0.746,3.784,0.955,0.318
14,2300,0.451,4.040,0.754,3.285,0.926,0.333
15,2400,0.450,3.956,0.762,3.194,0.908,0.349
15,2500,0.446,3.250,0.759,2.491,0.872,0.357
16,2600,0.451,4.472,0.758,3.714,0.947,0.366
16,2700,0.447,4.132,0.747,3.385,0.936,0.370
17,2800,0.450,3.858,0.742,3.116,0.901,0.384
18,2900,0.453,3.206,0.744,2.461,0.855,0.405
18,3000,0.448,3.263,0.748,2.515,0.869,0.416
19,3100,0.454,3.491,0.753,2.738,0.872,0.429
19,3200,0.446,3.131,0.738,2.394,0.828,0.450
20,3300,0.454,2.986,0.736,2.251,0.814,0.469
20,3400,0.447,2.925,0.731,2.194,0.801,0.478
21,3500,0.460,2.333,0.725,1.608,0.753,0.496
22,3600,0.453,2.346,0.723,1.623,0.747,0.507
22,3700,0.449,2.319,0.712,1.608,0.742,0.524
23,3800,0.452,2.977,0.707,2.270,0.804,0.535
23,3900,0.451,3.180,0.705,2.475,0.820,0.534
24,4000,0.451,2.883,0.697,2.187,0.777,0.559
25,4100,0.452,2.112,0.697,1.415,0.710,0.572
25,4200,0.448,2.006,0.687,1.319,0.705,0.580
26,4300,0.452,2.138,0.683,1.455,0.721,0.591
26,4400,0.446,5.015,0.681,4.335,0.890,0.574
27,4500,0.452,2.428,0.683,1.745,0.737,0.605
28,4600,0.452,2.655,0.670,1.985,0.725,0.617
28,4700,0.447,2.206,0.674,1.532,0.715,0.624
29,4800,0.451,2.174,0.673,1.502,0.694,0.631
29,4900,0.447,2.359,0.671,1.688,0.712,0.644
30,5000,0.453,1.970,0.661,1.309,0.678,0.647
30,5100,0.444,2.288,0.656,1.632,0.707,0.647
31,5200,0.454,1.964,0.659,1.305,0.667,0.659
32,5300,0.452,1.777,0.659,1.118,0.648,0.664
32,5400,0.446,2.116,0.655,1.461,0.677,0.669
33,5500,0.457,2.005,0.655,1.350,0.673,0.672
33,5600,0.446,2.375,0.658,1.717,0.698,0.668
34,5700,0.453,2.121,0.649,1.472,0.692,0.667
35,5800,0.453,1.596,0.650,0.946,0.616,0.688
35,5900,0.447,1.978,0.648,1.330,0.658,0.687
36,6000,0.453,1.645,0.650,0.996,0.626,0.691
36,6100,0.447,1.654,0.649,1.006,0.621,0.698
37,6200,0.453,1.722,0.649,1.073,0.625,0.696
38,6300,0.454,2.183,0.647,1.536,0.674,0.699
38,6400,0.448,1.473,0.647,0.826,0.600,0.707
39,6500,0.453,1.771,0.646,1.125,0.632,0.704
39,6600,0.448,1.649,0.647,1.003,0.614,0.710
40,6700,0.453,2.305,0.647,1.658,0.670,0.709
40,6800,0.444,1.609,0.642,0.966,0.610,0.714
41,6900,0.454,1.512,0.639,0.873,0.595,0.712
42,7000,0.450,1.525,0.637,0.888,0.604,0.712
42,7100,0.446,1.575,0.635,0.940,0.606,0.720
43,7200,0.456,1.545,0.635,0.910,0.596,0.720
43,7300,0.448,1.794,0.639,1.155,0.624,0.725
44,7400,0.452,2.081,0.638,1.443,0.656,0.713
45,7500,0.451,1.618,0.630,0.987,0.601,0.722
45,7600,0.446,2.250,0.629,1.621,0.672,0.716
46,7700,0.452,1.394,0.629,0.766,0.565,0.732
46,7800,0.446,1.483,0.630,0.853,0.579,0.730
47,7900,0.455,1.494,0.625,0.869,0.583,0.730
