current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.531,33.535,0.060,33.475,2.014,0.008
2,200,0.452,27.829,0.134,27.695,1.976,0.015
2,300,0.447,19.792,0.106,19.686,1.877,0.018
3,400,0.454,17.758,0.137,17.620,1.839,0.026
3,500,0.448,14.571,0.168,14.403,1.788,0.038
4,600,0.454,14.600,0.197,14.403,1.789,0.046
5,700,0.450,11.529,0.245,11.284,1.718,0.069
5,800,0.447,9.345,0.316,9.030,1.631,0.103
6,900,0.455,12.369,0.435,11.934,1.593,0.174
6,1000,0.447,6.748,0.577,6.171,1.387,0.261
7,1100,0.449,6.575,0.645,5.929,1.304,0.328
8,1200,0.453,8.127,0.689,7.438,1.314,0.373
8,1300,0.447,5.732,0.738,4.995,1.149,0.444
9,1400,0.452,6.153,0.784,5.369,1.158,0.473
9,1500,0.448,3.350,0.804,2.546,0.973,0.534
10,1600,0.454,5.000,0.820,4.180,1.035,0.552
10,1700,0.445,5.507,0.843,4.664,1.066,0.578
11,1800,0.457,3.344,0.818,2.526,0.897,0.629
12,1900,0.452,3.801,0.803,2.997,0.880,0.663
12,2000,0.446,2.714,0.800,1.914,0.825,0.699
13,2100,0.455,3.678,0.793,2.884,0.876,0.707
13,2200,0.446,2.884,0.790,2.093,0.806,0.736
14,2300,0.450,6.536,0.769,5.767,1.007,0.705
15,2400,0.452,2.803,0.769,2.034,0.756,0.778
15,2500,0.446,3.473,0.766,2.706,0.816,0.774
16,2600,0.450,7.594,0.748,6.846,1.100,0.703
16,2700,0.447,2.830,0.752,2.077,0.758,0.798
17,2800,0.450,2.312,0.746,1.566,0.721,0.806
18,2900,0.454,3.096,0.745,2.351,0.753,0.812
18,3000,0.448,2.247,0.736,1.511,0.689,0.818
19,3100,0.455,2.081,0.733,1.347,0.681,0.829
19,3200,0.446,2.347,0.727,1.619,0.692,0.834
20,3300,0.449,3.406,0.730,2.676,0.795,0.811
20,3400,0.445,3.006,0.727,2.279,0.738,0.830
21,3500,0.458,2.091,0.717,1.374,0.670,0.843
22,3600,0.450,2.879,0.716,2.164,0.704,0.836
22,3700,0.448,2.417,0.712,1.705,0.659,0.848
23,3800,0.451,2.215,0.703,1.511,0.674,0.844
23,3900,0.447,2.413,0.702,1.712,0.693,0.843
24,4000,0.453,3.001,0.699,2.303,0.721,0.842
25,4100,0.453,2.823,0.692,2.131,0.701,0.847
25,4200,0.450,1.922,0.695,1.227,0.635,0.858
26,4300,0.453,3.214,0.689,2.526,0.731,0.841
26,4400,0.449,1.755,0.686,1.069,0.609,0.861
27,4500,0.451,1.961,0.694,1.267,0.642,0.850
28,4600,0.455,2.182,0.690,1.492,0.621,0.864
28,4700,0.448,4.044,0.684,3.360,0.712,0.864
29,4800,0.452,2.388,0.684,1.704,0.660,0.857
29,4900,0.447,2.578,0.683,1.895,0.685,0.848
30,5000,0.452,1.775,0.686,1.089,0.599,0.860
30,5100,0.444,1.993,0.690,1.302,0.648,0.859
31,5200,0.452,2.075,0.687,1.388,0.631,0.859
32,5300,0.452,1.718,0.684,1.034,0.598,0.864
32,5400,0.446,1.914,0.679,1.234,0.601,0.861
33,5500,0.458,1.934,0.676,1.258,0.617,0.861
33,5600,0.446,1.735,0.676,1.058,0.587,0.867
34,5700,0.454,1.707,0.673,1.034,0.587,0.874
35,5800,0.452,1.675,0.674,1.002,0.584,0.872
35,5900,0.447,2.134,0.667,1.467,0.636,0.863
36,6000,0.450,1.545,0.666,0.879,0.571,0.867
36,6100,0.446,1.986,0.669,1.317,0.615,0.872
37,6200,0.450,1.752,0.665,1.087,0.571,0.876
