current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.532,9362.198,9317.894,44.305,3.258,0.037
2,200,0.450,39172.641,39135.238,37.404,3.200,0.063
2,300,0.446,739.813,707.714,32.100,3.080,0.107
3,400,0.451,25.602,0.398,25.204,2.966,0.129
3,500,0.447,164.320,129.207,35.113,3.056,0.118
4,600,0.450,1514.346,1482.344,32.002,3.045,0.123
5,700,0.451,25.611,0.720,24.892,2.946,0.148
5,800,0.448,473.005,446.273,26.732,2.943,0.159
6,900,0.458,21.601,0.707,20.893,2.799,0.184
6,1000,0.447,23.409,0.622,22.787,2.851,0.187
7,1100,0.453,22.523,0.721,21.802,2.824,0.190
8,1200,0.451,27.953,6.101,21.852,2.792,0.203
8,1300,0.447,20.211,0.732,19.479,2.724,0.223
9,1400,0.449,21.754,0.851,20.903,2.768,0.226
9,1500,0.447,19.822,0.879,18.943,2.685,0.245
10,1600,0.452,299.593,274.367,25.226,2.781,0.219
10,1700,0.444,19.806,2.057,17.749,2.618,0.267
11,1800,0.457,23.317,5.288,18.028,2.628,0.272
12,1900,0.452,31.630,10.068,21.562,2.632,0.277
12,2000,0.446,19.410,1.051,18.359,2.642,0.289
13,2100,0.451,18.826,1.042,17.784,2.617,0.305
13,2200,0.445,25.596,5.215,20.380,2.580,0.309
14,2300,0.452,18.999,1.114,17.886,2.562,0.314
15,2400,0.451,17.298,1.211,16.087,2.491,0.343
15,2500,0.445,21.302,3.089,18.213,2.543,0.345
16,2600,0.449,17.611,1.180,16.431,2.505,0.359
16,2700,0.447,31.198,10.851,20.347,2.562,0.345
17,2800,0.448,16.889,1.206,15.683,2.458,0.373
18,2900,0.451,16.411,1.225,15.185,2.406,0.399
18,3000,0.447,22.549,1.273,21.275,2.517,0.400
19,3100,0.454,14.244,1.274,12.970,2.275,0.452
19,3200,0.446,13.340,1.334,12.006,2.191,0.498
20,3300,0.450,14.088,1.290,12.798,2.130,0.544
20,3400,0.444,10.923,1.360,9.563,1.937,0.615
21,3500,0.459,9.606,1.348,8.258,1.774,0.691
22,3600,0.450,8.217,1.321,6.896,1.604,0.745
22,3700,0.448,7.463,1.304,6.159,1.475,0.796
23,3800,0.453,6.553,1.273,5.280,1.374,0.828
23,3900,0.447,6.274,1.241,5.034,1.354,0.842
24,4000,0.450,4.794,1.183,3.610,1.148,0.877
25,4100,0.450,6.769,1.148,5.621,1.316,0.874
25,4200,0.447,4.573,1.111,3.462,1.104,0.899
