current_epoch,current_step,cycle_time,loss,kld_loss,rec_loss,error,pr
1,100,0.028,0.461,0.114,0.347,0.437,0.818
2,200,0.028,0.440,0.118,0.322,0.427,0.821
2,300,0.029,0.590,0.092,0.498,0.542,0.702
3,400,0.029,0.297,0.101,0.196,0.334,0.905
3,500,0.028,0.262,0.110,0.153,0.318,0.937
4,600,0.028,0.433,0.114,0.319,0.421,0.835
4,700,0.029,0.260,0.097,0.163,0.312,0.919
5,800,0.029,0.302,0.092,0.209,0.339,0.890
5,900,0.029,0.257,0.109,0.147,0.297,0.928
1,100,0.030,1.002,0.006,0.996,0.815,0.023
1,200,0.029,1.001,0.002,0.999,0.820,-0.031
1,300,0.029,0.997,0.001,0.996,0.807,-0.040
1,400,0.029,0.997,0.001,0.996,0.810,0.055
