current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
1,100,0.119,30.341,30.341,2.474,0.480
1,200,0.098,12.279,12.279,1.659,0.762
1,300,0.097,9.150,9.150,1.178,0.896
1,400,0.098,5.603,5.603,1.029,0.913
1,500,0.099,3.207,3.207,0.818,0.932
1,600,0.098,3.723,3.723,0.800,0.954
1,700,0.098,2.976,2.976,0.731,0.954
1,800,0.098,5.302,5.302,0.880,0.954
1,900,0.099,2.603,2.603,0.720,0.956
1,1000,0.098,2.399,2.399,0.649,0.963
1,1100,0.098,6.220,6.220,1.074,0.928
1,1200,0.098,4.316,4.316,0.809,0.951
1,1300,0.098,1.656,1.656,0.539,0.974
1,1400,0.098,3.747,3.747,0.708,0.965
1,1500,0.098,2.489,2.489,0.625,0.967
1,1600,0.098,1.196,1.196,0.511,0.972
1,1700,0.098,1.247,1.247,0.472,0.979
1,1800,0.098,1.334,1.334,0.540,0.976
1,1900,0.098,4.957,4.957,0.798,0.959
1,2000,0.098,1.166,1.166,0.470,0.979
1,2100,0.098,1.485,1.485,0.620,0.979
1,2200,0.098,2.760,2.760,0.686,0.975
1,2300,0.098,3.569,3.569,0.778,0.973
1,2400,0.098,1.966,1.966,0.567,0.983
1,2500,0.098,1.371,1.371,0.491,0.981
2,2600,0.102,0.909,0.909,0.463,0.980
2,2700,0.098,1.063,1.063,0.467,0.983
2,2800,0.100,0.677,0.677,0.423,0.983
2,2900,0.098,3.088,3.088,0.910,0.982
2,3000,0.099,1.590,1.590,0.471,0.983
2,3100,0.099,1.931,1.931,0.573,0.979
2,3200,0.098,0.629,0.629,0.386,0.988
2,3300,0.098,2.194,2.194,0.543,0.982
2,3400,0.098,1.663,1.663,0.460,0.987
2,3500,0.098,4.441,4.441,0.675,0.984
2,3600,0.099,1.065,1.065,0.458,0.987
2,3700,0.098,0.814,0.814,0.415,0.987
2,3800,0.098,0.828,0.828,0.461,0.989
2,3900,0.098,0.817,0.817,0.456,0.988
2,4000,0.099,1.457,1.457,0.461,0.984
2,4100,0.098,0.994,0.994,0.527,0.986
2,4200,0.098,0.622,0.622,0.360,0.987
2,4300,0.098,0.807,0.807,0.469,0.989
2,4400,0.099,1.225,1.225,0.471,0.984
2,4500,0.098,0.940,0.940,0.402,0.989
2,4600,0.098,1.438,1.438,0.581,0.982
2,4700,0.098,1.181,1.181,0.417,0.987
2,4800,0.099,0.808,0.808,0.417,0.990
2,4900,0.098,0.983,0.983,0.416,0.988
2,5000,0.097,0.511,0.511,0.395,0.985
3,5100,0.102,1.716,1.716,0.441,0.988
3,5200,0.100,1.137,1.137,0.687,0.981
3,5300,0.099,0.729,0.729,0.348,0.987
3,5400,0.099,0.714,0.714,0.369,0.987
3,5500,0.099,1.128,1.128,0.490,0.977
3,5600,0.100,0.599,0.599,0.418,0.963
3,5700,0.099,0.578,0.578,0.373,0.986
3,5800,0.099,1.630,1.630,0.489,0.983
3,5900,0.099,1.013,1.013,0.418,0.977
3,6000,0.100,0.816,0.816,0.366,0.987
3,6100,0.098,0.787,0.787,0.419,0.981
3,6200,0.099,0.374,0.374,0.369,0.973
3,6300,0.099,0.685,0.685,0.419,0.974
3,6400,0.100,0.453,0.453,0.339,0.986
3,6500,0.099,0.575,0.575,0.385,0.976
3,6600,0.099,0.431,0.431,0.334,0.986
3,6700,0.099,0.437,0.437,0.315,0.990
3,6800,0.100,0.657,0.657,0.355,0.987
3,6900,0.099,0.250,0.250,0.275,0.991
3,7000,0.098,0.631,0.631,0.394,0.984
3,7100,0.098,0.457,0.457,0.405,0.968
3,7200,0.100,1.155,1.155,0.453,0.984
3,7300,0.098,0.642,0.642,0.366,0.988
3,7400,0.099,0.693,0.693,0.368,0.987
3,7500,0.098,0.495,0.495,0.385,0.978
4,7600,0.104,0.417,0.417,0.398,0.980
