current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
1,100,0.182,143.492,143.492,5.670,0.859
1,200,0.101,26.908,26.908,3.205,0.965
1,300,0.101,26.676,26.676,2.947,0.952
1,400,0.101,14.012,14.012,1.900,0.983
1,500,0.101,9.018,9.018,1.560,0.970
1,600,0.099,4.294,4.294,1.048,0.985
1,700,0.099,13.011,13.011,1.428,0.983
1,800,0.098,2.980,2.980,0.933,0.987
1,900,0.100,3.295,3.295,0.878,0.990
1,1000,0.098,1.942,1.942,0.813,0.990
1,1100,0.098,8.203,8.203,1.585,0.965
1,1200,0.099,2.285,2.285,0.812,0.993
1,1300,0.099,1.924,1.924,0.706,0.992
1,1400,0.099,5.010,5.010,1.193,0.981
1,1500,0.099,1.532,1.532,0.713,0.994
1,1600,0.098,9.372,9.372,1.515,0.973
1,1700,0.098,3.061,3.061,1.003,0.991
1,1800,0.098,8.171,8.171,1.371,0.985
1,1900,0.098,1.806,1.806,0.648,0.994
1,2000,0.099,1.392,1.392,0.663,0.994
1,2100,0.098,1.970,1.970,0.681,0.990
1,2200,0.098,1.141,1.141,0.512,0.994
1,2300,0.100,2.691,2.691,0.787,0.991
1,2400,0.098,3.288,3.288,0.782,0.995
1,2500,0.098,1.921,1.921,0.766,0.994
2,2600,0.103,1.058,1.058,0.643,0.993
2,2700,0.098,3.705,3.705,0.778,0.994
2,2800,0.099,5.627,5.627,1.119,0.992
2,2900,0.098,2.054,2.054,0.747,0.994
2,3000,0.098,2.504,2.504,0.828,0.990
2,3100,0.098,1.283,1.283,0.628,0.993
2,3200,0.100,1.976,1.976,0.772,0.994
2,3300,0.098,2.994,2.994,0.755,0.995
2,3400,0.098,2.429,2.429,0.691,0.995
2,3500,0.099,3.672,3.672,0.878,0.994
2,3600,0.099,1.969,1.969,0.701,0.994
2,3700,0.098,1.334,1.334,0.628,0.993
2,3800,0.099,1.766,1.766,0.790,0.995
2,3900,0.098,4.210,4.210,1.173,0.984
2,4000,0.099,1.477,1.477,0.662,0.995
2,4100,0.099,1.401,1.401,0.615,0.993
2,4200,0.098,3.065,3.065,0.902,0.993
2,4300,0.098,1.423,1.423,0.605,0.995
2,4400,0.100,2.077,2.077,0.723,0.994
2,4500,0.098,0.679,0.679,0.462,0.996
2,4600,0.098,1.967,1.967,0.708,0.993
2,4700,0.099,1.273,1.273,0.615,0.993
2,4800,0.099,2.505,2.505,0.848,0.992
2,4900,0.098,2.059,2.059,0.681,0.996
2,5000,0.098,2.447,2.447,0.760,0.990
3,5100,0.101,0.930,0.930,0.547,0.996
3,5200,0.098,1.253,1.253,0.599,0.993
3,5300,0.099,1.656,1.656,0.614,0.996
3,5400,0.099,1.640,1.640,0.608,0.995
3,5500,0.099,0.698,0.698,0.478,0.996
