current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
1,100,0.181,34.672,34.672,1.843,0.281
1,200,0.098,22.443,22.443,1.649,0.386
1,300,0.098,13.961,13.961,1.329,0.552
1,400,0.098,17.692,17.692,1.433,0.587
1,500,0.099,12.950,12.950,1.318,0.592
1,600,0.099,22.467,22.467,1.548,0.575
1,700,0.098,25.099,25.099,1.515,0.609
1,800,0.098,16.767,16.767,1.433,0.618
1,900,0.099,21.400,21.400,1.402,0.629
1,1000,0.098,17.475,17.475,1.321,0.655
1,1100,0.098,12.838,12.838,1.212,0.678
1,1200,0.099,10.472,10.472,1.205,0.676
1,1300,0.097,16.133,16.133,1.210,0.686
1,1400,0.098,11.779,11.779,1.241,0.713
1,1500,0.099,23.590,23.590,1.311,0.733
1,1600,0.098,7.134,7.134,0.985,0.755
1,1700,0.098,8.794,8.794,1.028,0.759
1,1800,0.099,8.811,8.811,1.071,0.772
1,1900,0.098,17.348,17.348,1.122,0.804
1,2000,0.099,6.489,6.489,0.873,0.805
1,2100,0.099,6.812,6.812,0.948,0.797
1,2200,0.098,4.645,4.645,0.830,0.823
1,2300,0.098,4.149,4.149,0.842,0.822
1,2400,0.100,8.706,8.706,1.011,0.805
1,2500,0.098,4.164,4.164,0.798,0.831
2,2600,0.102,5.541,5.541,0.819,0.829
2,2700,0.099,8.179,8.179,0.896,0.826
2,2800,0.099,5.487,5.487,0.826,0.827
2,2900,0.098,5.209,5.209,0.826,0.848
2,3000,0.099,8.551,8.551,0.921,0.838
2,3100,0.098,4.792,4.792,0.788,0.833
2,3200,0.100,6.286,6.286,0.867,0.798
2,3300,0.099,5.179,5.179,0.731,0.851
2,3400,0.098,4.041,4.041,0.740,0.840
2,3500,0.098,9.157,9.157,0.941,0.832
2,3600,0.099,6.358,6.358,0.841,0.826
2,3700,0.098,4.815,4.815,0.776,0.842
2,3800,0.098,5.283,5.283,0.771,0.832
2,3900,0.098,2.841,2.841,0.642,0.852
2,4000,0.098,5.716,5.716,0.721,0.851
2,4100,0.098,2.681,2.681,0.629,0.855
2,4200,0.098,3.163,3.163,0.624,0.854
2,4300,0.098,3.076,3.076,0.635,0.846
2,4400,0.098,3.206,3.206,0.554,0.872
2,4500,0.098,3.172,3.172,0.555,0.872
2,4600,0.098,1.088,1.088,0.463,0.871
2,4700,0.099,1.562,1.562,0.483,0.874
2,4800,0.099,2.192,2.192,0.570,0.853
2,4900,0.098,1.567,1.567,0.497,0.876
2,5000,0.098,1.234,1.234,0.434,0.881
3,5100,0.100,1.129,1.129,0.422,0.886
3,5200,0.097,1.578,1.578,0.439,0.888
3,5300,0.099,2.116,2.116,0.517,0.884
3,5400,0.098,3.757,3.757,0.637,0.845
3,5500,0.098,3.986,3.986,0.627,0.890
3,5600,0.100,2.712,2.712,0.506,0.891
