current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
1,100,0.121,24.030,24.030,1.785,0.559
1,200,0.098,20.664,20.664,1.592,0.650
1,300,0.098,26.122,26.122,1.594,0.628
1,400,0.098,16.288,16.288,1.434,0.705
1,500,0.098,6.623,6.623,1.201,0.759
1,600,0.097,13.783,13.783,1.380,0.756
1,700,0.098,22.127,22.127,1.433,0.766
1,800,0.100,38.587,38.587,1.559,0.759
1,900,0.099,16.125,16.125,1.333,0.758
1,1000,0.098,8.595,8.595,1.159,0.795
1,1100,0.098,5.539,5.539,1.103,0.773
1,1200,0.098,12.259,12.259,1.206,0.809
1,1300,0.098,14.531,14.531,1.247,0.775
1,1400,0.098,5.791,5.791,1.103,0.811
1,1500,0.098,6.622,6.622,1.032,0.804
1,1600,0.099,5.262,5.262,0.902,0.839
1,1700,0.098,3.782,3.782,0.848,0.861
1,1800,0.098,2.852,2.852,0.782,0.887
1,1900,0.098,3.756,3.756,0.764,0.901
1,2000,0.099,4.102,4.102,0.829,0.898
1,2100,0.098,2.491,2.491,0.644,0.928
1,2200,0.098,4.655,4.655,0.961,0.923
1,2300,0.098,1.978,1.978,0.630,0.927
1,2400,0.099,2.966,2.966,0.694,0.931
1,2500,0.097,2.941,2.941,0.605,0.935
2,2600,0.104,2.002,2.002,0.569,0.945
2,2700,0.101,2.495,2.495,0.658,0.932
2,2800,0.102,4.879,4.879,0.683,0.929
2,2900,0.100,3.980,3.980,1.066,0.955
2,3000,0.099,10.373,10.373,0.983,0.941
2,3100,0.100,3.062,3.062,0.616,0.942
2,3200,0.101,2.225,2.225,0.732,0.948
2,3300,0.098,1.014,1.014,0.443,0.959
2,3400,0.098,8.244,8.244,0.770,0.956
2,3500,0.098,5.850,5.850,0.834,0.953
2,3600,0.098,8.425,8.425,0.672,0.960
2,3700,0.098,1.221,1.221,0.476,0.960
2,3800,0.098,1.816,1.816,0.478,0.958
2,3900,0.098,1.286,1.286,0.494,0.960
2,4000,0.098,1.914,1.914,0.587,0.958
2,4100,0.098,1.139,1.139,0.470,0.950
2,4200,0.098,3.375,3.375,0.537,0.955
2,4300,0.098,1.306,1.306,0.525,0.956
2,4400,0.098,1.440,1.440,0.467,0.963
2,4500,0.098,4.133,4.133,0.676,0.953
2,4600,0.098,1.188,1.188,0.486,0.954
2,4700,0.098,2.244,2.244,0.584,0.926
2,4800,0.099,1.162,1.162,0.458,0.958
2,4900,0.098,1.364,1.364,0.458,0.957
2,5000,0.098,1.031,1.031,0.451,0.948
3,5100,0.101,2.736,2.736,0.508,0.959
3,5200,0.098,1.212,1.212,0.468,0.952
3,5300,0.098,2.397,2.397,0.508,0.955
3,5400,0.098,3.778,3.778,0.623,0.936
3,5500,0.098,1.101,1.101,0.522,0.942
3,5600,0.098,2.740,2.740,0.586,0.950
3,5700,0.099,1.017,1.017,0.469,0.953
3,5800,0.098,1.604,1.604,0.525,0.949
3,5900,0.098,4.535,4.535,0.739,0.933
3,6000,0.099,1.513,1.513,0.522,0.938
3,6100,0.098,0.742,0.742,0.412,0.952
3,6200,0.098,0.959,0.959,0.459,0.949
3,6300,0.099,0.999,0.999,0.432,0.952
3,6400,0.098,5.083,5.083,0.704,0.941
3,6500,0.098,1.392,1.392,0.530,0.935
3,6600,0.099,1.447,1.447,0.500,0.941
3,6700,0.102,0.917,0.917,0.433,0.950
3,6800,0.101,1.817,1.817,0.576,0.938
3,6900,0.101,1.474,1.474,0.490,0.952
3,7000,0.101,0.783,0.783,0.411,0.957
3,7100,0.102,0.999,0.999,0.431,0.950
3,7200,0.100,1.385,1.385,0.491,0.955
3,7300,0.100,0.854,0.854,0.409,0.957
3,7400,0.100,1.460,1.460,0.466,0.948
3,7500,0.100,0.763,0.763,0.405,0.955
4,7600,0.103,1.100,1.100,0.432,0.945
4,7700,0.099,1.200,1.200,0.430,0.952
4,7800,0.099,0.767,0.767,0.412,0.956
4,7900,0.100,1.344,1.344,0.502,0.942
4,8000,0.098,0.779,0.779,0.395,0.953
4,8100,0.099,5.662,5.662,0.803,0.903
4,8200,0.100,1.718,1.718,0.500,0.950
4,8300,0.102,0.898,0.898,0.430,0.953
4,8400,0.101,1.874,1.874,0.528,0.935
4,8500,0.098,0.606,0.606,0.350,0.962
4,8600,0.098,1.554,1.554,0.500,0.952
4,8700,0.098,1.191,1.191,0.505,0.943
4,8800,0.098,0.605,0.605,0.406,0.952
4,8900,0.099,0.571,0.571,0.351,0.962
4,9000,0.099,0.716,0.716,0.407,0.955
4,9100,0.098,2.055,2.055,0.513,0.949
4,9200,0.098,0.759,0.759,0.400,0.957
4,9300,0.098,4.326,4.326,0.558,0.929
4,9400,0.098,0.927,0.927,0.386,0.959
4,9500,0.098,0.497,0.497,0.358,0.962
4,9600,0.098,0.526,0.526,0.354,0.960
4,9700,0.098,0.533,0.533,0.342,0.959
4,9800,0.098,0.467,0.467,0.333,0.960
4,9900,0.099,1.632,1.632,0.444,0.954
4,10000,0.099,0.564,0.564,0.348,0.954
5,10100,0.101,3.396,3.396,0.638,0.928
5,10200,0.098,6.256,6.256,0.833,0.872
5,10300,0.098,0.750,0.750,0.381,0.960
5,10400,0.098,2.318,2.318,0.702,0.910
5,10500,0.098,1.288,1.288,0.608,0.901
5,10600,0.099,0.996,0.996,0.434,0.956
5,10700,0.098,0.604,0.604,0.363,0.953
