current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
1,100,0.122,27.837,27.837,2.509,0.792
1,200,0.099,11.317,11.317,1.540,0.919
1,300,0.098,2.584,2.584,0.920,0.958
1,400,0.098,4.844,4.844,1.006,0.964
1,500,0.100,1.178,1.178,0.604,0.974
1,600,0.098,22.265,22.265,1.275,0.959
1,700,0.098,4.539,4.539,1.023,0.954
1,800,0.099,1.751,1.751,0.634,0.977
1,900,0.099,5.524,5.524,1.308,0.920
1,1000,0.099,1.875,1.875,0.658,0.979
1,1100,0.098,1.127,1.127,0.506,0.985
1,1200,0.098,1.513,1.513,0.672,0.976
1,1300,0.099,0.929,0.929,0.511,0.985
1,1400,0.098,0.763,0.763,0.466,0.987
1,1500,0.098,1.078,1.078,0.553,0.982
1,1600,0.100,3.399,3.399,0.914,0.965
1,1700,0.098,1.809,1.809,0.672,0.985
1,1800,0.098,0.997,0.997,0.529,0.988
1,1900,0.099,0.731,0.731,0.472,0.988
1,2000,0.099,1.336,1.336,0.613,0.982
1,2100,0.098,1.411,1.411,0.636,0.982
1,2200,0.099,0.728,0.728,0.447,0.990
1,2300,0.098,0.670,0.670,0.479,0.987
1,2400,0.099,3.044,3.044,0.705,0.991
1,2500,0.098,0.846,0.846,0.437,0.991
2,2600,0.102,1.868,1.868,0.700,0.984
2,2700,0.098,1.917,1.917,0.679,0.987
2,2800,0.100,0.596,0.596,0.467,0.991
2,2900,0.098,0.401,0.401,0.357,0.992
2,3000,0.098,12.161,12.161,0.970,0.984
2,3100,0.099,0.713,0.713,0.414,0.994
2,3200,0.099,0.575,0.575,0.402,0.992
2,3300,0.098,1.116,1.116,0.462,0.993
2,3400,0.099,1.405,1.405,0.518,0.990
2,3500,0.098,2.734,2.734,0.717,0.991
2,3600,0.099,0.481,0.481,0.386,0.993
2,3700,0.099,0.585,0.585,0.498,0.991
2,3800,0.099,0.840,0.840,0.460,0.988
2,3900,0.098,0.557,0.557,0.460,0.992
2,4000,0.099,0.331,0.331,0.355,0.992
2,4100,0.098,1.327,1.327,0.489,0.990
2,4200,0.098,1.125,1.125,0.582,0.992
2,4300,0.099,0.624,0.624,0.428,0.991
2,4400,0.099,0.664,0.664,0.473,0.991
2,4500,0.098,1.100,1.100,0.586,0.992
2,4600,0.099,0.494,0.494,0.389,0.992
2,4700,0.098,0.996,0.996,0.525,0.994
2,4800,0.100,0.490,0.490,0.362,0.993
2,4900,0.098,1.215,1.215,0.609,0.992
2,5000,0.098,0.365,0.365,0.377,0.992
3,5100,0.102,0.679,0.679,0.432,0.991
3,5200,0.100,0.706,0.706,0.566,0.991
3,5300,0.099,0.449,0.449,0.415,0.992
3,5400,0.099,0.397,0.397,0.371,0.993
3,5500,0.099,0.373,0.373,0.322,0.994
3,5600,0.100,0.330,0.330,0.310,0.993
3,5700,0.099,2.073,2.073,0.703,0.983
3,5800,0.099,0.500,0.500,0.413,0.991
3,5900,0.099,0.437,0.437,0.353,0.993
3,6000,0.099,0.374,0.374,0.346,0.993
3,6100,0.098,0.630,0.630,0.373,0.993
3,6200,0.099,0.334,0.334,0.333,0.993
3,6300,0.100,0.415,0.415,0.380,0.993
3,6400,0.098,0.337,0.337,0.330,0.993
3,6500,0.098,2.082,2.082,0.657,0.987
3,6600,0.100,0.829,0.829,0.516,0.986
3,6700,0.099,0.272,0.272,0.302,0.994
3,6800,0.098,0.307,0.307,0.311,0.994
3,6900,0.100,0.340,0.340,0.334,0.994
3,7000,0.099,0.502,0.502,0.359,0.993
3,7100,0.098,0.407,0.407,0.329,0.994
3,7200,0.099,0.542,0.542,0.357,0.995
3,7300,0.098,0.360,0.360,0.323,0.994
3,7400,0.099,0.418,0.418,0.357,0.993
3,7500,0.099,0.647,0.647,0.475,0.993
4,7600,0.101,0.778,0.778,0.406,0.992
4,7700,0.099,0.591,0.591,0.402,0.992
4,7800,0.099,0.329,0.329,0.303,0.995
4,7900,0.099,0.376,0.376,0.317,0.993
4,8000,0.099,0.477,0.477,0.384,0.993
4,8100,0.098,0.732,0.732,0.380,0.993
4,8200,0.098,0.260,0.260,0.283,0.996
4,8300,0.100,0.335,0.335,0.316,0.994
4,8400,0.100,0.288,0.288,0.313,0.994
4,8500,0.098,0.603,0.603,0.375,0.993
4,8600,0.099,0.457,0.457,0.352,0.991
4,8700,0.098,0.382,0.382,0.329,0.991
4,8800,0.099,0.419,0.419,0.357,0.992
4,8900,0.100,0.532,0.532,0.414,0.995
4,9000,0.099,0.438,0.438,0.340,0.994
4,9100,0.098,0.575,0.575,0.423,0.990
4,9200,0.100,0.287,0.287,0.291,0.996
4,9300,0.098,1.611,1.611,0.645,0.984
4,9400,0.098,0.277,0.277,0.288,0.994
4,9500,0.099,0.576,0.576,0.367,0.994
4,9600,0.099,0.355,0.355,0.337,0.995
4,9700,0.098,0.188,0.188,0.268,0.995
4,9800,0.100,0.607,0.607,0.407,0.993
4,9900,0.099,4.135,4.135,0.773,0.978
4,10000,0.098,0.265,0.265,0.312,0.994
5,10100,0.102,0.472,0.472,0.326,0.993
5,10200,0.099,0.218,0.218,0.274,0.994
5,10300,0.098,0.185,0.185,0.264,0.995
5,10400,0.101,0.303,0.303,0.294,0.995
5,10500,0.098,0.678,0.678,0.390,0.991
5,10600,0.099,0.197,0.197,0.265,0.994
5,10700,0.100,0.244,0.244,0.312,0.993
5,10800,0.100,0.318,0.318,0.276,0.995
5,10900,0.099,0.322,0.322,0.309,0.995
5,11000,0.099,0.276,0.276,0.315,0.994
5,11100,0.098,0.333,0.333,0.318,0.995
5,11200,0.100,0.868,0.868,0.455,0.993
5,11300,0.099,0.265,0.265,0.298,0.994
5,11400,0.099,0.313,0.313,0.306,0.996
5,11500,0.100,0.308,0.308,0.309,0.995
5,11600,0.100,0.211,0.211,0.246,0.996
5,11700,0.099,0.837,0.837,0.428,0.993
5,11800,0.100,0.443,0.443,0.376,0.993
5,11900,0.098,0.348,0.348,0.330,0.994
5,12000,0.098,1.898,1.898,0.791,0.971
5,12100,0.100,0.535,0.535,0.385,0.993
5,12200,0.099,0.617,0.617,0.440,0.991
5,12300,0.099,0.464,0.464,0.350,0.995
