current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
38,93100,0.157,45.814,45.814,2.475,0.444
38,93200,0.097,5.313,5.313,1.267,0.694
38,93300,0.098,4.255,4.255,1.010,0.753
38,93400,0.098,2.071,2.071,0.814,0.783
38,93500,0.099,2.389,2.389,0.811,0.798
38,93600,0.098,1.720,1.720,0.700,0.837
38,93700,0.097,1.265,1.265,0.616,0.859
38,93800,0.098,0.741,0.741,0.504,0.867
38,93900,0.099,0.863,0.863,0.504,0.883
38,94000,0.097,1.638,1.638,0.565,0.899
38,94100,0.098,4.381,4.381,0.881,0.863
38,94200,0.098,1.099,1.099,0.509,0.912
38,94300,0.099,0.879,0.879,0.575,0.907
38,94400,0.098,0.462,0.462,0.390,0.919
38,94500,0.097,0.429,0.429,0.380,0.916
38,94600,0.097,0.654,0.654,0.387,0.939
38,94700,0.099,0.567,0.567,0.375,0.938
38,94800,0.097,0.540,0.540,0.388,0.931
38,94900,0.097,0.513,0.513,0.407,0.924
38,95000,0.099,0.402,0.402,0.350,0.931
38,95100,0.098,0.287,0.287,0.313,0.935
38,95200,0.097,0.303,0.303,0.299,0.941
38,95300,0.098,0.346,0.346,0.336,0.933
38,95400,0.097,0.715,0.715,0.394,0.950
38,95500,0.097,0.269,0.269,0.271,0.957
39,95600,0.101,0.272,0.272,0.286,0.947
39,95700,0.097,0.289,0.289,0.293,0.942
39,95800,0.097,0.334,0.334,0.352,0.930
39,95900,0.098,0.713,0.713,0.416,0.938
39,96000,0.097,0.357,0.357,0.336,0.944
39,96100,0.097,0.314,0.314,0.313,0.940
39,96200,0.098,0.264,0.264,0.262,0.957
39,96300,0.097,0.259,0.259,0.285,0.951
39,96400,0.097,0.374,0.374,0.286,0.963
39,96500,0.098,0.537,0.537,0.343,0.945
39,96600,0.097,0.417,0.417,0.300,0.967
39,96700,0.097,0.312,0.312,0.286,0.963
39,96800,0.098,0.653,0.653,0.433,0.951
39,96900,0.097,0.164,0.164,0.227,0.956
39,97000,0.097,0.251,0.251,0.268,0.959
39,97100,0.098,0.222,0.222,0.240,0.966
39,97200,0.097,0.176,0.176,0.204,0.964
39,97300,0.097,0.439,0.439,0.305,0.964
39,97400,0.099,0.183,0.183,0.250,0.945
39,97500,0.097,0.253,0.253,0.261,0.961
39,97600,0.097,0.189,0.189,0.273,0.947
39,97700,0.098,0.295,0.295,0.284,0.977
39,97800,0.097,0.231,0.231,0.262,0.955
39,97900,0.097,0.259,0.259,0.252,0.971
39,98000,0.098,0.192,0.192,0.212,0.966
40,98100,0.099,0.257,0.257,0.267,0.974
40,98200,0.097,0.159,0.159,0.227,0.969
40,98300,0.099,0.135,0.135,0.209,0.961
40,98400,0.097,0.305,0.305,0.270,0.949
40,98500,0.097,0.174,0.174,0.245,0.955
40,98600,0.098,0.517,0.517,0.320,0.968
40,98700,0.098,0.160,0.160,0.267,0.946
40,98800,0.097,0.205,0.205,0.227,0.973
40,98900,0.097,0.221,0.221,0.228,0.969
40,99000,0.097,0.485,0.485,0.331,0.967
40,99100,0.097,0.113,0.113,0.193,0.965
40,99200,0.097,0.105,0.105,0.210,0.952
40,99300,0.097,0.114,0.114,0.193,0.964
40,99400,0.097,0.163,0.163,0.198,0.967
40,99500,0.099,0.159,0.159,0.198,0.967
40,99600,0.097,0.177,0.177,0.225,0.968
40,99700,0.097,0.148,0.148,0.205,0.975
40,99800,0.097,0.139,0.139,0.200,0.980
40,99900,0.096,0.118,0.118,0.181,0.971
40,100000,0.097,0.167,0.167,0.208,0.971
40,100100,0.097,0.121,0.121,0.198,0.971
40,100200,0.097,0.510,0.510,0.327,0.965
40,100300,0.099,0.307,0.307,0.254,0.979
40,100400,0.096,0.150,0.150,0.191,0.971
40,100500,0.096,0.243,0.243,0.231,0.969
40,100600,0.097,0.159,0.159,0.217,0.967
41,100700,0.099,0.131,0.131,0.203,0.974
41,100800,0.097,0.170,0.170,0.214,0.974
41,100900,0.098,0.093,0.093,0.185,0.959
41,101000,0.097,0.120,0.120,0.182,0.975
