current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
38,93100,0.076,4.420,4.420,1.145,0.973
38,93200,0.097,1.568,1.568,0.648,0.990
38,93300,0.097,1.633,1.633,0.674,0.990
38,93400,0.097,0.666,0.666,0.481,0.994
38,93500,0.099,0.749,0.749,0.492,0.993
38,93600,0.097,1.136,1.136,0.548,0.993
38,93700,0.098,1.008,1.008,0.607,0.993
38,93800,0.097,0.553,0.553,0.474,0.992
38,93900,0.099,1.226,1.226,0.551,0.994
38,94000,0.098,1.677,1.677,0.702,0.993
38,94100,0.097,0.871,0.871,0.486,0.994
38,94200,0.097,0.602,0.602,0.410,0.997
38,94300,0.099,0.508,0.508,0.418,0.996
38,94400,0.097,0.463,0.463,0.392,0.997
38,94500,0.097,0.800,0.800,0.470,0.996
38,94600,0.098,0.618,0.618,0.407,0.997
38,94700,0.098,0.644,0.644,0.414,0.996
38,94800,0.097,0.812,0.812,0.504,0.996
38,94900,0.098,9.769,9.769,1.477,0.995
38,95000,0.097,0.465,0.465,0.392,0.995
38,95100,0.098,0.691,0.691,0.458,0.996
38,95200,0.098,0.426,0.426,0.412,0.995
38,95300,0.097,1.114,1.114,0.528,0.997
38,95400,0.097,0.449,0.449,0.380,0.997
38,95500,0.097,0.454,0.454,0.374,0.996
39,95600,0.100,0.505,0.505,0.437,0.997
39,95700,0.098,0.364,0.364,0.345,0.997
39,95800,0.098,0.348,0.348,0.369,0.995
39,95900,0.098,0.274,0.274,0.306,0.998
39,96000,0.098,0.285,0.285,0.335,0.995
39,96100,0.098,0.664,0.664,0.432,0.996
39,96200,0.099,0.611,0.611,0.457,0.997
39,96300,0.098,0.457,0.457,0.355,0.998
39,96400,0.098,0.658,0.658,0.380,0.997
39,96500,0.098,1.450,1.450,0.559,0.996
39,96600,0.099,0.341,0.341,0.372,0.997
39,96700,0.098,0.299,0.299,0.318,0.998
39,96800,0.098,1.119,1.119,0.496,0.997
39,96900,0.098,0.241,0.241,0.286,0.998
39,97000,0.099,0.339,0.339,0.355,0.997
39,97100,0.098,0.376,0.376,0.386,0.996
39,97200,0.098,0.491,0.491,0.412,0.996
39,97300,0.098,0.448,0.448,0.346,0.998
39,97400,0.099,1.002,1.002,0.507,0.996
39,97500,0.098,0.819,0.819,0.462,0.997
39,97600,0.098,0.744,0.744,0.478,0.996
39,97700,0.098,1.256,1.256,0.551,0.995
39,97800,0.098,0.241,0.241,0.315,0.997
39,97900,0.098,0.424,0.424,0.324,0.998
39,98000,0.098,0.249,0.249,0.314,0.995
40,98100,0.100,0.947,0.947,0.497,0.996
40,98200,0.098,0.498,0.498,0.403,0.998
40,98300,0.098,0.369,0.369,0.358,0.998
40,98400,0.098,0.460,0.460,0.354,0.997
40,98500,0.098,0.517,0.517,0.429,0.997
40,98600,0.099,0.556,0.556,0.376,0.998
40,98700,0.098,0.434,0.434,0.328,0.997
40,98800,0.098,0.460,0.460,0.360,0.996
40,98900,0.098,1.076,1.076,0.593,0.997
40,99000,0.099,0.892,0.892,0.442,0.997
40,99100,0.098,0.393,0.393,0.369,0.996
40,99200,0.098,0.418,0.418,0.358,0.998
40,99300,0.098,0.432,0.432,0.347,0.998
40,99400,0.099,0.817,0.817,0.462,0.993
40,99500,0.098,0.251,0.251,0.305,0.998
40,99600,0.098,0.249,0.249,0.293,0.998
40,99700,0.098,0.671,0.671,0.526,0.992
40,99800,0.099,0.520,0.520,0.404,0.997
40,99900,0.098,0.552,0.552,0.375,0.998
40,100000,0.098,0.444,0.444,0.390,0.997
40,100100,0.098,0.396,0.396,0.359,0.997
40,100200,0.099,0.235,0.235,0.290,0.997
40,100300,0.098,0.460,0.460,0.374,0.998
40,100400,0.098,0.470,0.470,0.397,0.997
40,100500,0.098,0.703,0.703,0.400,0.997
40,100600,0.098,0.648,0.648,0.379,0.997
41,100700,0.101,0.353,0.353,0.344,0.996
41,100800,0.098,0.535,0.535,0.447,0.996
41,100900,0.098,0.785,0.785,0.501,0.995
41,101000,0.100,1.318,1.318,0.541,0.997
41,101100,0.098,0.969,0.969,0.465,0.998
41,101200,0.098,0.392,0.392,0.339,0.996
41,101300,0.098,0.563,0.563,0.431,0.997
41,101400,0.098,0.471,0.471,0.379,0.997
41,101500,0.098,0.405,0.405,0.392,0.995
41,101600,0.098,0.636,0.636,0.443,0.994
41,101700,0.098,0.508,0.508,0.363,0.998
41,101800,0.099,0.320,0.320,0.306,0.998
41,101900,0.098,0.493,0.493,0.395,0.998
41,102000,0.098,0.794,0.794,0.446,0.998
41,102100,0.098,0.342,0.342,0.334,0.997
41,102200,0.098,0.746,0.746,0.459,0.996
41,102300,0.099,0.814,0.814,0.438,0.995
41,102400,0.098,0.323,0.323,0.327,0.998
41,102500,0.098,0.406,0.406,0.389,0.997
41,102600,0.100,0.299,0.299,0.365,0.997
41,102700,0.098,0.972,0.972,0.457,0.996
41,102800,0.098,0.592,0.592,0.436,0.997
41,102900,0.098,0.590,0.590,0.407,0.997
41,103000,0.099,0.200,0.200,0.280,0.997
41,103100,0.097,0.307,0.307,0.304,0.998
42,103200,0.101,0.509,0.509,0.350,0.997
42,103300,0.098,0.356,0.356,0.330,0.998
42,103400,0.098,0.964,0.964,0.442,0.997
42,103500,0.098,1.156,1.156,0.529,0.998
42,103600,0.098,0.282,0.282,0.361,0.994
42,103700,0.098,0.335,0.335,0.325,0.997
42,103800,0.098,0.650,0.650,0.443,0.996
42,103900,0.098,0.634,0.634,0.392,0.998
42,104000,0.098,0.992,0.992,0.508,0.995
42,104100,0.099,0.592,0.592,0.392,0.998
42,104200,0.098,0.346,0.346,0.335,0.997
42,104300,0.098,0.336,0.336,0.349,0.997
42,104400,0.098,0.209,0.209,0.282,0.998
42,104500,0.099,0.449,0.449,0.372,0.998
42,104600,0.098,0.235,0.235,0.300,0.998
42,104700,0.098,0.289,0.289,0.348,0.996
42,104800,0.098,0.439,0.439,0.383,0.998
42,104900,0.099,1.300,1.300,0.567,0.998
42,105000,0.097,0.404,0.404,0.375,0.998
42,105100,0.097,0.393,0.393,0.408,0.995
42,105200,0.098,0.684,0.684,0.372,0.998
42,105300,0.099,0.534,0.534,0.354,0.998
42,105400,0.098,0.995,0.995,0.503,0.997
42,105500,0.098,0.285,0.285,0.290,0.999
42,105600,0.097,0.655,0.655,0.458,0.996
43,105700,0.103,0.230,0.230,0.285,0.998
43,105800,0.098,0.498,0.498,0.380,0.998
43,105900,0.098,0.376,0.376,0.332,0.998
43,106000,0.098,0.548,0.548,0.371,0.998
43,106100,0.099,0.355,0.355,0.365,0.997
