current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
38,93100,0.070,32.029,32.029,1.936,0.253
38,93200,0.098,18.367,18.367,1.392,0.480
38,93300,0.097,7.755,7.755,1.083,0.669
38,93400,0.097,7.412,7.412,0.977,0.690
38,93500,0.099,11.421,11.421,1.025,0.743
38,93600,0.097,7.230,7.230,1.050,0.739
38,93700,0.097,6.805,6.805,0.940,0.776
38,93800,0.098,3.319,3.319,0.858,0.738
38,93900,0.098,5.585,5.585,0.914,0.768
38,94000,0.097,12.532,12.532,1.023,0.806
38,94100,0.098,4.117,4.117,0.835,0.798
38,94200,0.097,4.602,4.602,0.822,0.832
38,94300,0.098,3.070,3.070,0.799,0.802
38,94400,0.098,4.224,4.224,0.791,0.814
38,94500,0.097,3.713,3.713,0.740,0.853
38,94600,0.097,9.058,9.058,0.912,0.875
38,94700,0.097,5.109,5.109,0.759,0.872
38,94800,0.097,4.160,4.160,0.734,0.880
38,94900,0.097,3.730,3.730,0.757,0.851
38,95000,0.098,3.432,3.432,0.692,0.883
38,95100,0.097,3.197,3.197,0.691,0.880
38,95200,0.097,1.883,1.883,0.569,0.890
38,95300,0.097,2.072,2.072,0.577,0.886
38,95400,0.097,5.328,5.328,0.710,0.908
38,95500,0.097,2.177,2.177,0.564,0.911
39,95600,0.101,1.954,1.954,0.532,0.904
39,95700,0.097,2.559,2.559,0.567,0.917
39,95800,0.098,2.003,2.003,0.520,0.913
39,95900,0.097,1.582,1.582,0.533,0.887
39,96000,0.097,1.433,1.433,0.461,0.917
39,96100,0.098,1.085,1.085,0.423,0.921
39,96200,0.098,1.319,1.319,0.452,0.931
39,96300,0.097,1.260,1.260,0.444,0.926
39,96400,0.097,1.266,1.266,0.448,0.923
39,96500,0.097,1.236,1.236,0.404,0.935
39,96600,0.098,1.513,1.513,0.468,0.940
39,96700,0.098,1.555,1.555,0.424,0.943
39,96800,0.097,0.944,0.944,0.465,0.907
39,96900,0.097,1.132,1.132,0.402,0.941
39,97000,0.099,1.182,1.182,0.401,0.951
39,97100,0.096,1.042,1.042,0.380,0.952
39,97200,0.097,1.219,1.219,0.408,0.938
39,97300,0.098,1.021,1.021,0.357,0.957
39,97400,0.098,0.886,0.886,0.372,0.948
39,97500,0.097,1.298,1.298,0.370,0.951
39,97600,0.097,0.620,0.620,0.364,0.926
39,97700,0.097,0.918,0.918,0.364,0.960
39,97800,0.098,0.855,0.855,0.365,0.946
39,97900,0.097,0.809,0.809,0.330,0.962
39,98000,0.097,0.778,0.778,0.322,0.960
40,98100,0.099,0.627,0.627,0.322,0.960
40,98200,0.098,0.917,0.917,0.333,0.964
40,98300,0.096,0.493,0.493,0.327,0.939
40,98400,0.096,0.643,0.643,0.304,0.967
40,98500,0.097,0.495,0.495,0.316,0.940
40,98600,0.097,1.467,1.467,0.384,0.964
40,98700,0.095,0.521,0.521,0.302,0.941
40,98800,0.097,0.855,0.855,0.337,0.964
40,98900,0.096,1.186,1.186,0.351,0.967
40,99000,0.097,1.029,1.029,0.354,0.966
40,99100,0.097,0.969,0.969,0.336,0.967
40,99200,0.096,0.605,0.605,0.285,0.963
40,99300,0.096,0.752,0.752,0.328,0.969
40,99400,0.096,0.665,0.665,0.305,0.966
40,99500,0.096,0.576,0.576,0.296,0.969
40,99600,0.096,0.699,0.699,0.321,0.971
40,99700,0.097,0.493,0.493,0.298,0.967
40,99800,0.097,0.764,0.764,0.309,0.971
40,99900,0.096,0.455,0.455,0.280,0.969
40,100000,0.097,0.898,0.898,0.327,0.969
40,100100,0.096,0.443,0.443,0.283,0.951
40,100200,0.097,0.676,0.676,0.292,0.966
40,100300,0.096,0.416,0.416,0.279,0.969
40,100400,0.096,0.650,0.650,0.289,0.973
40,100500,0.096,0.815,0.815,0.333,0.965
40,100600,0.097,0.591,0.591,0.312,0.967
41,100700,0.099,0.430,0.430,0.263,0.971
41,100800,0.097,0.521,0.521,0.283,0.971
41,100900,0.098,0.327,0.327,0.278,0.947
41,101000,0.096,0.602,0.602,0.300,0.969
41,101100,0.097,0.443,0.443,0.273,0.962
41,101200,0.097,0.627,0.627,0.278,0.972
