current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
38,93100,0.077,44.392,44.392,2.274,0.213
38,93200,0.098,23.522,23.522,1.603,0.579
38,93300,0.098,10.395,10.395,1.337,0.653
38,93400,0.098,6.001,6.001,1.043,0.748
38,93500,0.099,6.696,6.696,1.041,0.810
38,93600,0.098,10.508,10.508,1.008,0.838
38,93700,0.098,2.628,2.628,0.660,0.889
38,93800,0.098,1.938,1.938,0.582,0.887
38,93900,0.099,2.958,2.958,0.608,0.920
38,94000,0.098,2.835,2.835,0.605,0.904
38,94100,0.098,1.433,1.433,0.507,0.915
38,94200,0.098,2.023,2.023,0.539,0.933
38,94300,0.098,0.824,0.824,0.500,0.921
38,94400,0.098,1.640,1.640,0.497,0.918
38,94500,0.099,1.062,1.062,0.455,0.934
38,94600,0.100,2.069,2.069,0.520,0.951
38,94700,0.098,1.259,1.259,0.476,0.930
38,94800,0.098,0.833,0.833,0.441,0.933
38,94900,0.098,1.130,1.130,0.455,0.938
38,95000,0.099,1.116,1.116,0.439,0.952
38,95100,0.098,0.622,0.622,0.399,0.944
38,95200,0.098,0.685,0.685,0.420,0.938
38,95300,0.098,2.302,2.302,0.499,0.951
38,95400,0.099,2.896,2.896,0.553,0.960
38,95500,0.098,0.860,0.860,0.398,0.957
39,95600,0.102,1.206,1.206,0.455,0.946
39,95700,0.098,1.146,1.146,0.421,0.962
39,95800,0.098,0.550,0.550,0.386,0.948
39,95900,0.098,0.552,0.552,0.372,0.953
39,96000,0.098,0.757,0.757,0.404,0.957
39,96100,0.098,0.607,0.607,0.381,0.946
39,96200,0.098,0.928,0.928,0.402,0.959
39,96300,0.098,1.369,1.369,0.414,0.960
39,96400,0.098,0.973,0.973,0.416,0.959
39,96500,0.098,0.835,0.835,0.352,0.965
39,96600,0.098,0.858,0.858,0.395,0.963
39,96700,0.098,0.633,0.633,0.368,0.953
39,96800,0.098,0.624,0.624,0.456,0.948
39,96900,0.099,1.215,1.215,0.394,0.969
39,97000,0.098,0.641,0.641,0.357,0.963
39,97100,0.098,1.415,1.415,0.450,0.966
39,97200,0.098,0.968,0.968,0.374,0.968
39,97300,0.099,0.720,0.720,0.356,0.968
39,97400,0.098,0.686,0.686,0.344,0.973
39,97500,0.098,0.986,0.986,0.383,0.967
39,97600,0.099,0.439,0.439,0.342,0.949
39,97700,0.099,1.095,1.095,0.410,0.971
39,97800,0.098,0.760,0.760,0.365,0.958
39,97900,0.098,2.502,2.502,0.504,0.959
39,98000,0.098,0.894,0.894,0.350,0.971
40,98100,0.101,0.527,0.527,0.343,0.961
40,98200,0.098,0.560,0.560,0.332,0.973
40,98300,0.098,0.467,0.467,0.318,0.969
40,98400,0.098,0.410,0.410,0.339,0.954
40,98500,0.098,0.517,0.517,0.322,0.971
40,98600,0.098,1.182,1.182,0.425,0.969
40,98700,0.098,0.413,0.413,0.329,0.962
40,98800,0.098,0.849,0.849,0.402,0.957
40,98900,0.099,1.197,1.197,0.390,0.972
40,99000,0.098,1.625,1.625,0.432,0.973
40,99100,0.098,0.480,0.480,0.318,0.974
40,99200,0.099,0.504,0.504,0.333,0.961
40,99300,0.100,0.646,0.646,0.360,0.975
40,99400,0.098,0.486,0.486,0.316,0.970
40,99500,0.098,0.551,0.551,0.321,0.977
40,99600,0.098,0.628,0.628,0.325,0.977
40,99700,0.099,0.581,0.581,0.323,0.971
40,99800,0.098,0.738,0.738,0.323,0.978
40,99900,0.098,0.471,0.471,0.321,0.966
40,100000,0.098,0.591,0.591,0.342,0.973
40,100100,0.099,0.925,0.925,0.334,0.975
40,100200,0.098,1.060,1.060,0.370,0.974
40,100300,0.098,0.833,0.833,0.377,0.973
40,100400,0.098,0.697,0.697,0.337,0.977
40,100500,0.098,0.776,0.776,0.369,0.968
40,100600,0.098,0.988,0.988,0.344,0.975
41,100700,0.101,0.376,0.376,0.328,0.961
41,100800,0.099,1.855,1.855,0.427,0.972
41,100900,0.100,0.341,0.341,0.288,0.978
41,101000,0.098,0.367,0.367,0.309,0.969
41,101100,0.099,0.537,0.537,0.323,0.969
41,101200,0.099,0.806,0.806,0.374,0.963
41,101300,0.099,0.691,0.691,0.326,0.974
41,101400,0.099,0.565,0.565,0.328,0.978
41,101500,0.098,0.728,0.728,0.374,0.973
41,101600,0.098,0.553,0.553,0.346,0.965
41,101700,0.099,0.508,0.508,0.310,0.979
41,101800,0.098,0.496,0.496,0.320,0.978
41,101900,0.098,0.680,0.680,0.348,0.977
41,102000,0.098,0.537,0.537,0.308,0.979
41,102100,0.099,0.409,0.409,0.288,0.974
41,102200,0.098,0.362,0.362,0.309,0.968
41,102300,0.098,0.584,0.584,0.327,0.977
41,102400,0.098,0.441,0.441,0.293,0.975
41,102500,0.098,0.714,0.714,0.334,0.978
41,102600,0.098,0.429,0.429,0.294,0.979
41,102700,0.098,0.552,0.552,0.315,0.976
41,102800,0.098,0.459,0.459,0.318,0.974
41,102900,0.098,0.672,0.672,0.311,0.978
41,103000,0.098,0.519,0.519,0.306,0.979
41,103100,0.098,0.700,0.700,0.329,0.980
42,103200,0.101,0.380,0.380,0.282,0.980
42,103300,0.100,0.426,0.426,0.293,0.978
42,103400,0.098,0.662,0.662,0.323,0.980
42,103500,0.098,0.709,0.709,0.344,0.978
42,103600,0.099,0.423,0.423,0.294,0.979
42,103700,0.100,0.681,0.681,0.330,0.981
42,103800,0.098,0.702,0.702,0.318,0.979
42,103900,0.098,0.951,0.951,0.357,0.981
42,104000,0.098,1.263,1.263,0.405,0.975
42,104100,0.100,0.418,0.418,0.291,0.981
42,104200,0.099,0.385,0.385,0.281,0.980
42,104300,0.099,0.442,0.442,0.300,0.980
42,104400,0.099,1.044,1.044,0.365,0.979
42,104500,0.099,0.638,0.638,0.305,0.974
42,104600,0.098,0.457,0.457,0.315,0.980
42,104700,0.098,0.380,0.380,0.281,0.981
42,104800,0.098,0.765,0.765,0.345,0.979
42,104900,0.099,0.728,0.728,0.327,0.976
42,105000,0.098,0.585,0.585,0.308,0.982
42,105100,0.098,0.286,0.286,0.261,0.977
42,105200,0.098,0.566,0.566,0.341,0.977
42,105300,0.099,2.089,2.089,0.405,0.978
42,105400,0.098,1.133,1.133,0.328,0.981
42,105500,0.098,2.311,2.311,0.415,0.976
42,105600,0.098,0.531,0.531,0.303,0.980
43,105700,0.102,0.360,0.360,0.272,0.982
43,105800,0.099,0.608,0.608,0.297,0.984
43,105900,0.098,0.683,0.683,0.314,0.981
43,106000,0.099,0.583,0.583,0.310,0.982
43,106100,0.100,0.524,0.524,0.290,0.983
43,106200,0.098,0.309,0.309,0.273,0.980
43,106300,0.098,0.487,0.487,0.283,0.983
