current_epoch,current_step,cycle_time,loss,rec_loss,error,pr
38,93100,0.263,0.146,0.146,0.241,0.994
38,93200,0.100,0.090,0.090,0.184,0.997
38,93300,0.100,0.075,0.075,0.169,0.997
38,93400,0.100,0.121,0.121,0.216,0.997
38,93500,0.102,0.100,0.100,0.197,0.996
38,93600,0.101,0.167,0.167,0.237,0.995
38,93700,0.100,0.369,0.369,0.313,0.993
38,93800,0.100,0.172,0.172,0.232,0.997
38,93900,0.102,0.156,0.156,0.225,0.997
38,94000,0.101,0.147,0.147,0.209,0.997
38,94100,0.101,0.087,0.087,0.184,0.996
38,94200,0.101,0.109,0.109,0.171,0.998
38,94300,0.100,0.149,0.149,0.216,0.997
38,94400,0.101,0.135,0.135,0.189,0.998
38,94500,0.101,0.097,0.097,0.207,0.996
38,94600,0.101,0.169,0.169,0.227,0.997
38,94700,0.100,0.080,0.080,0.177,0.996
38,94800,0.101,0.101,0.101,0.188,0.997
38,94900,0.101,0.138,0.138,0.216,0.998
38,95000,0.101,0.267,0.267,0.236,0.996
38,95100,0.102,0.151,0.151,0.213,0.998
38,95200,0.101,0.079,0.079,0.177,0.996
38,95300,0.100,0.113,0.113,0.197,0.998
38,95400,0.101,0.151,0.151,0.194,0.998
38,95500,0.101,0.068,0.068,0.161,0.997
39,95600,0.109,0.087,0.087,0.183,0.997
39,95700,0.101,0.085,0.085,0.178,0.998
39,95800,0.100,0.074,0.074,0.173,0.997
39,95900,0.100,0.085,0.085,0.164,0.998
39,96000,0.101,0.146,0.146,0.230,0.997
39,96100,0.100,0.176,0.176,0.272,0.993
39,96200,0.101,0.127,0.127,0.224,0.998
39,96300,0.100,0.115,0.115,0.206,0.997
39,96400,0.101,0.162,0.162,0.234,0.997
39,96500,0.101,0.163,0.163,0.224,0.996
39,96600,0.101,0.190,0.190,0.263,0.997
39,96700,0.101,0.104,0.104,0.183,0.998
39,96800,0.101,0.186,0.186,0.257,0.995
39,96900,0.101,0.091,0.091,0.177,0.998
39,97000,0.101,0.079,0.079,0.168,0.998
39,97100,0.101,0.072,0.072,0.162,0.998
39,97200,0.100,0.095,0.095,0.181,0.997
39,97300,0.101,0.073,0.073,0.153,0.998
39,97400,0.101,0.107,0.107,0.178,0.997
39,97500,0.101,0.106,0.106,0.196,0.998
39,97600,0.100,0.086,0.086,0.184,0.997
39,97700,0.101,0.123,0.123,0.188,0.996
39,97800,0.099,0.118,0.118,0.202,0.997
39,97900,0.099,0.094,0.094,0.186,0.998
39,98000,0.099,0.065,0.065,0.151,0.997
40,98100,0.102,0.146,0.146,0.214,0.997
40,98200,0.099,0.068,0.068,0.167,0.997
40,98300,0.100,0.046,0.046,0.135,0.998
40,98400,0.098,0.145,0.145,0.217,0.997
40,98500,0.099,0.077,0.077,0.172,0.998
40,98600,0.099,0.109,0.109,0.193,0.998
40,98700,0.099,0.095,0.095,0.188,0.995
40,98800,0.099,0.342,0.342,0.271,0.996
40,98900,0.099,0.121,0.121,0.199,0.998
40,99000,0.098,0.103,0.103,0.184,0.997
40,99100,0.099,0.102,0.102,0.155,0.998
40,99200,0.098,0.096,0.096,0.184,0.997
40,99300,0.099,0.102,0.102,0.179,0.998
40,99400,0.099,0.074,0.074,0.154,0.995
40,99500,0.098,0.137,0.137,0.203,0.997
40,99600,0.098,0.110,0.110,0.172,0.998
40,99700,0.099,0.117,0.117,0.191,0.997
40,99800,0.099,0.074,0.074,0.163,0.998
40,99900,0.099,0.105,0.105,0.183,0.998
40,100000,0.098,0.111,0.111,0.183,0.998
40,100100,0.098,0.097,0.097,0.175,0.997
40,100200,0.098,0.075,0.075,0.162,0.997
40,100300,0.100,0.385,0.385,0.294,0.997
40,100400,0.098,0.105,0.105,0.181,0.998
40,100500,0.098,0.139,0.139,0.181,0.998
40,100600,0.098,0.171,0.171,0.218,0.996
41,100700,0.102,0.140,0.140,0.256,0.996
41,100800,0.098,0.076,0.076,0.182,0.997
41,100900,0.098,0.081,0.081,0.174,0.997
41,101000,0.099,0.090,0.090,0.179,0.998
41,101100,0.099,0.131,0.131,0.207,0.997
41,101200,0.098,0.118,0.118,0.212,0.996
41,101300,0.098,0.097,0.097,0.182,0.998
41,101400,0.098,0.101,0.101,0.167,0.998
41,101500,0.100,0.390,0.390,0.276,0.993
41,101600,0.098,0.072,0.072,0.169,0.994
41,101700,0.098,0.081,0.081,0.169,0.998
41,101800,0.099,0.166,0.166,0.182,0.998
41,101900,0.099,0.176,0.176,0.241,0.997
41,102000,0.098,0.192,0.192,0.240,0.997
41,102100,0.098,0.057,0.057,0.146,0.997
41,102200,0.098,0.228,0.228,0.264,0.989
41,102300,0.099,0.122,0.122,0.209,0.995
41,102400,0.098,0.131,0.131,0.194,0.997
41,102500,0.098,0.143,0.143,0.211,0.998
41,102600,0.098,0.105,0.105,0.192,0.997
41,102700,0.100,0.072,0.072,0.172,0.998
41,102800,0.098,0.134,0.134,0.226,0.997
41,102900,0.098,0.121,0.121,0.185,0.997
41,103000,0.098,0.132,0.132,0.212,0.995
41,103100,0.099,0.087,0.087,0.181,0.998
42,103200,0.101,0.067,0.067,0.162,0.996
42,103300,0.099,0.148,0.148,0.223,0.997
42,103400,0.098,0.108,0.108,0.183,0.998
42,103500,0.099,0.237,0.237,0.266,0.998
42,103600,0.098,0.103,0.103,0.194,0.996
42,103700,0.099,0.099,0.099,0.187,0.997
42,103800,0.099,0.293,0.293,0.299,0.997
42,103900,0.099,0.089,0.089,0.172,0.998
42,104000,0.098,0.342,0.342,0.328,0.995
42,104100,0.099,0.059,0.059,0.158,0.997
42,104200,0.099,0.120,0.120,0.174,0.998
42,104300,0.099,0.242,0.242,0.245,0.997
42,104400,0.098,0.093,0.093,0.196,0.997
42,104500,0.098,0.093,0.093,0.186,0.997
42,104600,0.098,0.071,0.071,0.170,0.998
42,104700,0.100,0.122,0.122,0.201,0.997
42,104800,0.098,0.618,0.618,0.319,0.992
42,104900,0.099,0.525,0.525,0.351,0.998
42,105000,0.099,0.175,0.175,0.241,0.997
42,105100,0.100,0.113,0.113,0.205,0.995
42,105200,0.098,0.159,0.159,0.224,0.997
42,105300,0.099,0.220,0.220,0.251,0.997
42,105400,0.098,0.465,0.465,0.368,0.998
42,105500,0.100,0.085,0.085,0.177,0.998
42,105600,0.098,0.078,0.078,0.169,0.998
43,105700,0.101,0.093,0.093,0.159,0.998
43,105800,0.099,0.103,0.103,0.194,0.997
43,105900,0.100,0.149,0.149,0.204,0.997
43,106000,0.098,0.081,0.081,0.167,0.998
43,106100,0.099,0.096,0.096,0.172,0.997
43,106200,0.098,0.094,0.094,0.174,0.998
43,106300,0.098,0.070,0.070,0.177,0.996
43,106400,0.098,0.066,0.066,0.150,0.998
43,106500,0.098,0.122,0.122,0.162,0.998
43,106600,0.098,0.351,0.351,0.313,0.996
43,106700,0.098,0.179,0.179,0.205,0.998
43,106800,0.098,0.234,0.234,0.251,0.996
43,106900,0.098,0.102,0.102,0.192,0.997
43,107000,0.098,0.094,0.094,0.185,0.997
43,107100,0.100,0.109,0.109,0.169,0.998
43,107200,0.098,0.116,0.116,0.208,0.998
43,107300,0.098,0.099,0.099,0.188,0.997
43,107400,0.098,0.073,0.073,0.156,0.998
43,107500,0.099,0.103,0.103,0.175,0.997
43,107600,0.098,0.101,0.101,0.192,0.998
43,107700,0.099,0.096,0.096,0.173,0.998
43,107800,0.098,0.071,0.071,0.160,0.996
43,107900,0.098,0.107,0.107,0.186,0.998
